dataset,T2,clusters,min,mean
1684,20,4,0.385,0.5973664229471316
1684,20,5,0.3373493975903614,0.603506481077743
1684,20,6,0.34355828220858897,0.6269711416973652
1684,20,7,0.2676056338028169,0.5894533268033825
1684,20,8,0.2638888888888889,0.5814583700154066
1684,20,4,0.38235294117647056,0.6047225471628045
1684,20,5,0.3352941176470588,0.6105883255234807
1684,20,6,0.3414634146341464,0.6268347452503397
1684,20,7,0.3137254901960784,0.59064022494321
1684,20,8,0.125,0.5425759675624227
1684,20,4,0.34502923976608185,0.5819476321171733
1684,20,5,0.3352272727272727,0.6232490395624437
1684,20,6,0.3411764705882353,0.6196188837763742
1684,20,7,0.3207547169811321,0.5932924695725029
1684,20,8,0.3207547169811321,0.5801872198074239
1684,20,4,0.40625,0.5877142698500217
1684,20,5,0.35714285714285715,0.6078145994114708
1684,20,6,0.34523809523809523,0.6302933572670414
1684,20,7,0.3469387755102041,0.5987967850286318
1684,20,8,0.32653061224489793,0.5708060348661322
1684,20,4,0.421875,0.5897891983196963
1684,20,5,0.3647058823529412,0.6100680254307985
1684,20,6,0.3333333333333333,0.5738363965326706
1684,20,7,0.34,0.5950016020610004
1684,20,8,0.31875,0.5857426107717961
1684,20,4,0.3970588235294117,0.5982042915591433
1684,20,5,0.34502923976608185,0.6104656227463244
1684,20,6,0.3684210526315789,0.6286642475098528
1684,20,7,0.3090909090909091,0.5930654854894115
1684,20,8,0.3333333333333333,0.6042756717248712
1684,20,4,0.4019607843137255,0.5973019465084402
1684,20,5,0.3220338983050847,0.6198830178023313
1684,20,6,0.3352272727272727,0.639021707101827
1684,20,7,0.32941176470588235,0.6111995911865924
1684,20,8,0.27607361963190186,0.6175882546684839
1684,20,4,0.38,0.5995285715356029
1684,20,5,0.3475609756097561,0.6052789060168354
1684,20,6,0.32,0.5709641528062579
1684,20,7,0.32,0.5958969676030303
1684,20,8,0.2413793103448276,0.5612246979240321
1684,20,4,0.4094488188976378,0.5983699798440267
1684,20,5,0.3771428571428572,0.6106360027719304
1684,20,6,0.4022988505747127,0.6291653705446808
1684,20,7,0.288135593220339,0.5905224817116291
1684,20,8,0.2833333333333333,0.6092813126978949
1684,20,4,0.3540372670807453,0.5734012222503271
1684,20,5,0.36024844720496896,0.6009872793653009
1684,20,6,0.3076923076923077,0.5667598540870221
1684,20,7,0.3076923076923077,0.5933329656417013
1684,20,8,0.3076923076923077,0.5817012800778281
1684,20,4,0.3714285714285713,0.5781799967728055
1684,20,5,0.3493975903614458,0.6044065956295632
1684,20,6,0.29310344827586204,0.5617096425190007
1684,20,7,0.2833333333333333,0.5840915909794285
1684,20,8,0.2982456140350877,0.5861533659920841
1684,20,4,0.4039408866995074,0.5973332570689673
1684,20,5,0.3505747126436782,0.6158871599575535
1684,20,6,0.3035714285714285,0.5746967798283588
1684,20,7,0.3035714285714285,0.6024935725845257
1684,20,8,0.2982456140350877,0.5837195360621831
1684,20,4,0.3231707317073171,0.5799165074173378
1684,20,5,0.3192771084337349,0.6077870567694307
1684,20,6,0.3035714285714285,0.5675181841560827
1684,20,7,0.3035714285714285,0.5932202893033354
1684,20,8,0.2083333333333333,0.5572097315780826
1684,20,4,0.4052631578947368,0.5858413033299068
1684,20,5,0.33962264150943394,0.5991725843813294
1684,20,6,0.32653061224489793,0.5675947834790405
1684,20,7,0.32653061224489793,0.5946994368688562
1684,20,8,0.2790697674418605,0.5553674168433598
1684,20,4,0.3781094527363184,0.5997054155096609
1684,20,5,0.3353658536585366,0.6078143257154178
1684,20,6,0.33540372670807456,0.6277927513050832
1684,20,7,0.3,0.5893494490607529
1684,20,8,0.16326530612244894,0.5541117885450184
1684,20,4,0.3888888888888889,0.5973235098235099
1684,20,5,0.32335329341317365,0.6187459632230556
1684,20,6,0.3313253012048193,0.637923199013986
1684,20,7,0.2903225806451613,0.6018539278784123
1684,20,8,0.1176470588235294,0.5525384028481637
1684,20,4,0.3977272727272727,0.5811682396742395
1684,20,5,0.35668789808917195,0.590865499481432
1684,20,6,0.3478260869565217,0.6281802427822248
1684,20,7,0.3207547169811321,0.5891624471741782
1684,20,8,0.16326530612244894,0.5516383369232961
1684,20,4,0.4088669950738916,0.5924543201749882
1684,20,5,0.325,0.6086848625629113
1684,20,6,0.31446540880503143,0.5736321734204844
1684,20,7,0.3141025641025641,0.5976064400583014
1684,20,8,0.3178807947019868,0.5865763095060261
1684,20,4,0.4,0.5913433878888139
1684,20,5,0.3567251461988304,0.6093343216832079
1684,20,6,0.32,0.5601988494950647
1684,20,7,0.32,0.5859744064937671
1684,20,8,0.18,0.5583791253570394
1684,20,4,0.39896373056994816,0.5909099746695397
1684,20,5,0.3375,0.6022296769227147
1684,20,6,0.3630573248407643,0.6205509328963543
1684,20,7,0.3269230769230769,0.5869435454099513
1684,20,8,0.1914893617021277,0.5558959440262349
1684,10,4,0.3910891089108911,0.5971653677972839
1684,10,5,0.3431952662721893,0.6040643934644672
1684,10,6,0.3475609756097561,0.6255287753608111
1684,10,7,0.2857142857142857,0.5889402407666992
1684,10,8,0.3035714285714285,0.5833807506358506
1684,10,4,0.3872549019607843,0.6026032230021638
1684,10,5,0.3391812865497076,0.6105783283441657
1684,10,6,0.3137254901960784,0.5709850823245578
1684,10,7,0.125,0.5178187550277882
1684,10,8,0.22033898305084745,0.5571514690800092
1684,10,4,0.34502923976608185,0.5844812564946257
1684,10,5,0.3409090909090909,0.6210954824690289
1684,10,6,0.3373493975903614,0.6189968831398347
1684,10,7,0.3207547169811321,0.5691093865341716
1684,10,8,0.34,0.5794300616153257
1684,10,4,0.40625,0.5902209121898789
1684,10,5,0.3668639053254438,0.6046765854386206
1684,10,6,0.3772455089820359,0.6278259527891327
1684,10,7,0.29310344827586204,0.5885480202840869
1684,10,8,0.1568627450980392,0.5529939281318681
1684,10,4,0.39880952380952384,0.5739628687877797
1684,10,5,0.3764705882352941,0.605054980872489
1684,10,6,0.3690476190476191,0.6305944062170526
1684,10,7,0.3541666666666667,0.5975909503192954
1684,10,8,0.3333333333333333,0.5863057592901835
1684,10,4,0.4,0.6042937061182765
1684,10,5,0.3333333333333333,0.614552002554704
1684,10,6,0.3207547169811321,0.5736004872259425
1684,10,7,0.26666666666666666,0.5933009359142881
1684,10,8,0.3090909090909091,0.6064856059693045
1684,10,4,0.3819095477386935,0.6010212406712981
1684,10,5,0.3093922651933701,0.6282506674231959
1684,10,6,0.3202247191011236,0.6434561479436788
1684,10,7,0.31666666666666665,0.6104604716849614
1684,10,8,0.2916666666666667,0.6192698628083967
1684,10,4,0.3869346733668342,0.5967733575128316
1684,10,5,0.3456790123456789,0.6069898974203694
1684,10,6,0.35443037974683544,0.6301292513398611
1684,10,7,0.34,0.5945853866469231
1684,10,8,0.25862068965517243,0.5624658387172718
1684,10,4,0.40625,0.594004982611022
1684,10,5,0.3793103448275862,0.6090124917869838
1684,10,6,0.3895348837209303,0.6283900734995126
1684,10,7,0.2833333333333333,0.5926950356927086
1684,10,8,0.215686274509804,0.5592895879265299
1684,10,4,0.3223684210526316,0.5685041486997278
1684,10,5,0.3312101910828025,0.6040883406704457
1684,10,6,0.3269230769230769,0.6222821299883609
1684,10,7,0.3148148148148148,0.5959634548591604
1684,10,8,0.17647058823529413,0.5460618115629212
1684,10,4,0.3333333333333333,0.5828749226557393
1684,10,5,0.34545454545454546,0.6012994009003045
1684,10,6,0.3043478260869565,0.5718373186288325
1684,10,7,0.3035714285714285,0.5767048002605629
1684,10,8,0.3088235294117647,0.5687257665409704
1684,10,4,0.4186046511627907,0.5879205869797849
1684,10,5,0.35428571428571426,0.6163931929445303
1684,10,6,0.3207547169811321,0.5698598118843898
1684,10,7,0.3035714285714285,0.6010757148124772
1684,10,8,0.1836734693877551,0.5542209173964481
1684,10,4,0.4029850746268657,0.5953397485804529
