dataset,ratio,div,recall
1684,0.025,1.1212121212121209,0.9857142857142858
1684,0.05,0.9444444444444444,0.9642857142857144
1684,0.075,0.8584070796460177,0.9714285714285714
1684,0.1,0.7721518987341772,0.9642857142857144
1684,0.125,0.7857142857142857,0.9628571428571427
1684,0.15,0.7573221757322176,0.9571428571428572
1684,0.175,0.7437722419928826,0.9510204081632652
1684,0.2,0.7554858934169278,0.9517857142857142
1684,0.025,1.0,0.9857142857142858
1684,0.05,0.8421052631578947,0.9785714285714284
1684,0.075,0.7948717948717948,0.9666666666666668
1684,0.1,0.7948717948717948,0.9642857142857144
1684,0.125,0.8041237113402062,0.9714285714285714
1684,0.15,0.8181818181818182,0.9690476190476188
1684,0.175,0.7948717948717948,0.9653061224489796
1684,0.2,0.8006430868167203,0.9642857142857144
1684,0.025,1.0,1.0
1684,0.05,1.0588235294117647,0.9857142857142858
1684,0.075,0.8918918918918919,0.9809523809523808
1684,0.1,0.7834394904458599,0.975
1684,0.125,0.8421052631578947,0.9742857142857144
1684,0.15,0.8584070796460177,0.9738095238095238
1684,0.175,0.8421052631578947,0.9693877551020408
1684,0.2,0.8604651162790697,0.9678571428571427
1684,0.025,0.8421052631578947,0.9857142857142858
1684,0.05,0.7283950617283951,0.9928571428571428
1684,0.075,0.7796610169491526,0.9857142857142858
1684,0.1,0.8064516129032258,0.9714285714285714
1684,0.125,0.9021739130434784,0.9685714285714284
1684,0.15,0.8666666666666667,0.9666666666666668
1684,0.175,0.8631178707224335,0.9693877551020408
1684,0.2,0.8666666666666667,0.9625
1684,0.025,0.5217391304347826,1.0
1684,0.05,0.6091954022988506,0.9857142857142858
1684,0.075,0.640625,0.9666666666666668
1684,0.1,0.6568047337278107,0.9642857142857144
1684,0.125,0.6129032258064516,0.9657142857142856
1684,0.15,0.6342412451361867,0.9595238095238096
1684,0.175,0.6955017301038062,0.9612244897959183
1684,0.2,0.6716417910447762,0.9607142857142856
1684,0.025,0.8918918918918919,0.9857142857142858
1684,0.05,0.7283950617283951,0.9642857142857144
1684,0.075,0.75,0.961904761904762
1684,0.1,0.8181818181818182,0.9642857142857144
1684,0.125,0.7766497461928934,0.96
