dataset,alpha,auc,ap,dp,true,false,fnr,tnr
Oklahoma97,1.0,0.8952395846450724,0.9044479009665308,0.098521311408767,0.09854607542741543,0.011751161644148364,0.3724016475324743,0.04267580017824761
Oklahoma97,1.0,0.8870487107181997,0.8983537076574423,0.0906755570850061,0.08973902150512132,0.004819407130386394,0.3598894746220421,0.031175759347842138
Oklahoma97,1.0,0.880769052828509,0.8899721602537738,0.0964256023800273,0.09938159377397213,0.007815334942897777,0.4023557488400786,0.027226034834244284
Oklahoma97,1.0,0.8879312715960849,0.8973835089882457,0.1025694323862982,0.0984216223651285,0.029054285517324707,0.4011119828511485,0.06557295485688157
Oklahoma97,1.0,0.8901492212901614,0.9024958544873428,0.09317931587408054,0.09192902418076274,0.01009284849855364,0.3411383271430579,0.031009365337687483
Oklahoma97,1.0,0.8969667679471403,0.9096968499257791,0.08331632089727127,0.08601083534246183,0.0025995525057454644,0.36906755294704535,0.017088565578508852
Oklahoma97,1.0,0.8829692966676872,0.8933480572805972,0.11615700157114485,0.11585938771163234,0.03210252248420629,0.4118387840536834,0.06634554924448723
Oklahoma97,1.0,0.8848549748762404,0.8959730982170476,0.09732631078708956,0.09670675853776896,0.01533017580287752,0.4126148312803388,0.04239035087719298
Oklahoma97,1.0,0.8851946028228037,0.8916038222001341,0.0919456667896176,0.09079408664373492,0.011669200333064995,0.35263002240574004,0.033115446893462304
Oklahoma97,1.0,0.8735563458017049,0.8712533986277163,0.08484351405411142,0.08117328785099164,0.011598804479217977,0.3048486139923767,0.030280180564156326
Oklahoma97,1.0,0.8927510402586014,0.905365593056928,0.0859972624179532,0.09621818627115876,0.0031864492874417428,0.3722190300501003,0.016544286298008394
Oklahoma97,1.0,0.8870796283668793,0.8988501545587849,0.09440056129658472,0.08666210620552614,0.017577920518769368,0.3562462160745212,0.0449920225323369
Oklahoma97,1.0,0.8866818386915873,0.8939161194290509,0.10117770085294292,0.08940165870883705,0.0221868280389725,0.34557754952691194,0.05491117537005226
Oklahoma97,1.0,0.8812408733031121,0.8915478700597268,0.11044267676246476,0.10770089085137582,0.031829142269819165,0.3800781366798711,0.07549940772258143
