dataset,T2,clusters,min,mean
Oklahoma97,20,4,0.890625,0.9202797401140428
Oklahoma97,20,5,0.8556149732620321,0.8929174819612508
Oklahoma97,20,6,0.8247422680412371,0.9021029341156844
Oklahoma97,20,7,0.7786885245901639,0.8631662710689634
Oklahoma97,20,8,0.7393939393939394,0.8183228520671759
Oklahoma97,20,4,0.8317214700193424,0.8739276131567066
Oklahoma97,20,5,0.8484162895927602,0.8731433321341022
Oklahoma97,20,6,0.4915254237288136,0.7796067844075013
Oklahoma97,20,7,0.5083333333333333,0.7696147429703787
Oklahoma97,20,8,0.5172413793103449,0.7952028695571003
Oklahoma97,20,4,0.8747099767981439,0.9150936077063452
Oklahoma97,20,5,0.8358585858585859,0.8974214370590076
Oklahoma97,20,6,0.589041095890411,0.8315036661665262
Oklahoma97,20,7,0.6428571428571429,0.8437831838672851
Oklahoma97,20,8,0.6142857142857143,0.8040543449869479
Oklahoma97,20,4,0.8014440433212996,0.8690867466085584
Oklahoma97,20,5,0.6447368421052632,0.8099839216238814
Oklahoma97,20,6,0.6486486486486487,0.8448005206952208
Oklahoma97,20,7,0.6266666666666667,0.8345155406993966
Oklahoma97,20,8,0.5654450261780105,0.7684040739988985
Oklahoma97,20,4,0.8236658932714617,0.9018330356082472
Oklahoma97,20,5,0.7183098591549296,0.8542316263581373
Oklahoma97,20,6,0.7123287671232876,0.8540817825561379
Oklahoma97,20,7,0.7083333333333334,0.8383716456400752
Oklahoma97,20,8,0.7083333333333334,0.8500273086466421
Oklahoma97,20,4,0.884020618556701,0.9260253134628068
Oklahoma97,20,5,0.6621621621621622,0.8701163146264909
Oklahoma97,20,6,0.7864406779661017,0.8748833056565669
Oklahoma97,20,7,0.676056338028169,0.8335949139500632
Oklahoma97,20,8,0.6714285714285714,0.8044773235855953
Oklahoma97,20,4,0.8473895582329317,0.9312502774218068
Oklahoma97,20,5,0.7222222222222222,0.8693837453842276
Oklahoma97,20,6,0.7061994609164419,0.8486325491657922
Oklahoma97,20,7,0.7404371584699454,0.8746630633331453
Oklahoma97,20,8,0.6531791907514449,0.8222483903448558
Oklahoma97,20,4,0.9007444168734492,0.930755837824257
Oklahoma97,20,5,0.7042253521126759,0.8859658642439869
Oklahoma97,20,6,0.6666666666666666,0.8107548190012075
Oklahoma97,20,7,0.6901408450704225,0.8344352875188558
Oklahoma97,20,8,0.6372549019607843,0.8168726874971403
Oklahoma97,20,4,0.8737541528239202,0.9263717532158356
Oklahoma97,20,5,0.6712328767123288,0.8655032934771503
Oklahoma97,20,6,0.6619718309859155,0.8387671893654621
Oklahoma97,20,7,0.6811594202898551,0.8256959913374627
Oklahoma97,20,8,0.6547085201793722,0.8002604839767768
Oklahoma97,20,4,0.8875,0.9342504701903128
Oklahoma97,20,5,0.8562691131498471,0.9299116603424112
Oklahoma97,20,6,0.6883116883116883,0.8764979698765276
Oklahoma97,20,7,0.6805555555555556,0.8597888372220545
