dataset,clusters,min,mean
Oklahoma97,4,0.7552674230145867,0.8592740488502512
Oklahoma97,5,0.7377622377622378,0.8676037392786405
Oklahoma97,6,0.6866197183098591,0.8285883348688645
Oklahoma97,7,0.030927835051546393,0.7508738922779213
Oklahoma97,8,0.030927835051546393,0.7312061877955052
Oklahoma97,4,0.781010719754977,0.8630623864659833
Oklahoma97,5,0.7764505119453925,0.8624404933304233
Oklahoma97,6,0.020408163265306117,0.7089388339864944
Oklahoma97,7,0.020408163265306117,0.7097316011903164
Oklahoma97,8,0.020408163265306117,0.7551247473989192
Oklahoma97,4,0.759375,0.8384853224778217
Oklahoma97,5,0.7775862068965518,0.8499504839933765
Oklahoma97,6,0.6950354609929078,0.8395485060558444
Oklahoma97,7,0.061224489795918366,0.7960094349239941
Oklahoma97,8,0.061224489795918366,0.7915271436184491
Oklahoma97,4,0.7676609105180534,0.8524535847925845
Oklahoma97,5,0.8222222222222222,0.8879031142238792
Oklahoma97,6,0.7517241379310344,0.8696047460708857
Oklahoma97,7,0.6224489795918368,0.8237667967219453
Oklahoma97,8,0.6464646464646465,0.8154621119656722
Oklahoma97,4,0.7855973813420621,0.8732109382847547
Oklahoma97,5,0.7647058823529411,0.8752714520316498
Oklahoma97,6,0.625531914893617,0.833073308381847
Oklahoma97,7,0.6122448979591837,0.8521555835893802
Oklahoma97,8,0.042105263157894736,0.7699600837116152
Oklahoma97,4,0.8217054263565892,0.8716456982042262
Oklahoma97,5,0.7785234899328859,0.8414203292763751
Oklahoma97,6,0.03883495145631068,0.7041198721191377
Oklahoma97,7,0.4767441860465117,0.7708064992955302
Oklahoma97,8,0.6633906633906634,0.7933121995394284
Oklahoma97,4,0.7208201892744479,0.8411652628631894
Oklahoma97,5,0.7385620915032679,0.8569261105834552
Oklahoma97,6,0.0594059405940594,0.7580742914342409
Oklahoma97,7,0.0594059405940594,0.7284093718547231
Oklahoma97,8,0.3333333333333333,0.7446053409076874
Oklahoma97,4,0.8108974358974359,0.8820878074174019
Oklahoma97,5,0.8232142857142857,0.8948859178623302
Oklahoma97,6,0.4653465346534654,0.8312727309597872
Oklahoma97,7,0.42,0.8464051866073282
Oklahoma97,8,0.41,0.7962827058461931
Oklahoma97,4,0.7516233766233766,0.8635578627907974
Oklahoma97,5,0.7910447761194029,0.8808136475331724
Oklahoma97,6,0.6458333333333334,0.8414765785076014
Oklahoma97,7,0.6494845360824743,0.7957351006565375
Oklahoma97,8,0.6041666666666666,0.7926466653232548
Oklahoma97,4,0.7642276422764228,0.8472534750173021
Oklahoma97,5,0.825,0.8908025809457957
Oklahoma97,6,0.5,0.7860196737753409
Oklahoma97,7,0.59,0.8376948321721286
Oklahoma97,8,0.053763440860215055,0.6426404495721008
Oklahoma97,4,0.7841269841269841,0.8592832655499916
Oklahoma97,5,0.7923076923076923,0.8729792433023918
Oklahoma97,6,0.504950495049505,0.8232666625020967
Oklahoma97,7,0.018867924528301886,0.6808585562499205
Oklahoma97,8,0.1111111111111111,0.6445595745816148
Oklahoma97,4,0.7720364741641338,0.8650373186514253
Oklahoma97,5,0.8078231292517006,0.8983364009671444
Oklahoma97,6,0.6266666666666667,0.8264361286929268
Oklahoma97,7,0.020202020202020204,0.7126754474522771
Oklahoma97,8,0.03,0.7158591856415347
Oklahoma97,4,0.7740458015267175,0.8677214713314001
Oklahoma97,5,0.7672849915682968,0.8600852472935703
Oklahoma97,6,0.7578558225508318,0.8678217332996582
Oklahoma97,7,0.6627906976744186,0.8228246501589532
Oklahoma97,8,0.5757575757575758,0.7944478283798435
Oklahoma97,4,0.7756410256410257,0.8604909333821315
Oklahoma97,5,0.7825342465753424,0.8506712999927215
Oklahoma97,6,0.6458752515090543,0.8079995360031248
Oklahoma97,7,0.010204081632653059,0.7417625334279533
Oklahoma97,8,0.5050505050505051,0.8327597208361179
Oklahoma97,4,0.7324185248713551,0.8330488898577496
Oklahoma97,5,0.6545454545454545,0.8031446247987601
Oklahoma97,6,0.0660377358490566,0.7148489612730202
Oklahoma97,7,0.05660377358490566,0.7153484485283139
Oklahoma97,8,0.05660377358490566,0.7446854359312959
Oklahoma97,4,0.7936507936507936,0.8775179727031268
Oklahoma97,5,0.8244274809160306,0.8947671971987371
Oklahoma97,6,0.6122448979591837,0.864311894107144
Oklahoma97,7,0.6185567010309279,0.8496209371886183
Oklahoma97,8,0.6224489795918368,0.8287739122644637
Oklahoma97,4,0.7795275590551181,0.8763969813442957
Oklahoma97,5,0.7657045840407471,0.8618725946450343
Oklahoma97,6,0.405940594059406,0.8215837069563482
Oklahoma97,7,0.030303030303030307,0.7317973694311471
Oklahoma97,8,0.030303030303030307,0.7541316308945216
Oklahoma97,4,0.7898193760262726,0.8719145869201271
Oklahoma97,5,0.0505050505050505,0.7219074784901984
Oklahoma97,6,0.05,0.7461638363492301
Oklahoma97,7,0.040816326530612235,0.7676564767347155
Oklahoma97,8,0.0505050505050505,0.7839681527892011
Oklahoma97,4,0.7903726708074534,0.8577068155637539
Oklahoma97,5,0.7965217391304348,0.8749304201693755
Oklahoma97,6,0.6655290102389079,0.8042044927682525
Oklahoma97,7,0.4411764705882353,0.8122945508831911
Oklahoma97,8,0.030303030303030307,0.7396275807363663
Oklahoma97,4,0.7907348242811502,0.8773933179668645
Oklahoma97,5,0.7666034155597723,0.8874508470870254
Oklahoma97,6,0.6082474226804123,0.8744341900753296
Oklahoma97,7,0.5050505050505051,0.8637106195492318
Oklahoma97,8,0.5252525252525253,0.832159750344246
