dataset,T2,ratio,div,recall
Oklahoma97,20,0.025,0.46399999999999997,0.9508196721311476
Oklahoma97,20,0.05,0.46399999999999997,0.9439890710382514
Oklahoma97,20,0.075,0.4979536152796726,0.930783242258652
Oklahoma97,20,0.1,0.5030800821355236,0.9330601092896176
Oklahoma97,20,0.125,0.5469146238377007,0.9202185792349726
Oklahoma97,20,0.15,0.554140127388535,0.9057377049180328
Oklahoma97,20,0.175,0.5599513085818625,0.8997268825595006
Oklahoma97,20,0.2,0.5798274002157497,0.8832365995220212
Oklahoma97,20,0.025,0.2842105263157895,0.9754098360655736
Oklahoma97,20,0.05,0.3759398496240601,0.9535519125683058
Oklahoma97,20,0.075,0.40949935815147626,0.9435336976320584
Oklahoma97,20,0.1,0.4352941176470588,0.9357923497267758
Oklahoma97,20,0.125,0.4710610932475885,0.9224043715846996
Oklahoma97,20,0.15,0.5061728395061729,0.9171220400728596
Oklahoma97,20,0.175,0.5246876859012493,0.9032383925087788
Oklahoma97,20,0.2,0.5295039164490861,0.8897234551041311
Oklahoma97,20,0.025,0.4131274131274131,0.96448087431694
Oklahoma97,20,0.05,0.4787878787878788,0.9467213114754098
Oklahoma97,20,0.075,0.4817813765182186,0.9353369763205828
Oklahoma97,20,0.1,0.515527950310559,0.9173497267759564
Oklahoma97,20,0.125,0.535234899328859,0.9065573770491804
Oklahoma97,20,0.15,0.554140127388535,0.8948087431693991
Oklahoma97,20,0.175,0.5675840978593272,0.88802184939524
Oklahoma97,20,0.2,0.5918478260869565,0.8716285421645613
Oklahoma97,20,0.025,0.4296875,0.9371584699453552
Oklahoma97,20,0.05,0.4552683896620278,0.9385245901639344
Oklahoma97,20,0.075,0.4718498659517426,0.9371584699453552
Oklahoma97,20,0.1,0.4923547400611621,0.9282786885245902
Oklahoma97,20,0.125,0.5111478117258464,0.9202185792349726
Oklahoma97,20,0.15,0.5378151260504201,0.9066484517304192
Oklahoma97,20,0.175,0.5618525289457648,0.8930940304330862
Oklahoma97,20,0.2,0.5858148348673524,0.8750426766814613
Oklahoma97,20,0.025,0.4131274131274131,0.96448087431694
Oklahoma97,20,0.05,0.466933867735471,0.9535519125683058
Oklahoma97,20,0.075,0.5061728395061729,0.9435336976320584
Oklahoma97,20,0.1,0.5077239958805355,0.9316939890710384
Oklahoma97,20,0.125,0.5391084945332212,0.9131147540983606
Oklahoma97,20,0.15,0.5641025641025641,0.9039162112932604
Oklahoma97,20,0.175,0.5695039804041642,0.8907530238002341
Oklahoma97,20,0.2,0.5901194353963084,0.8723113690679413
Oklahoma97,20,0.025,0.34558823529411764,0.9672131147540984
Oklahoma97,20,0.05,0.3631284916201117,0.9576502732240436
Oklahoma97,20,0.075,0.40949935815147626,0.9453551912568308
Oklahoma97,20,0.1,0.4684052156469408,0.9344262295081968
Oklahoma97,20,0.125,0.4805825242718447,0.9218579234972678
Oklahoma97,20,0.15,0.5072065888812629,0.9089253187613844
Oklahoma97,20,0.175,0.5283243887895049,0.8954350370659383
Oklahoma97,20,0.2,0.5472794506075013,0.8846022533287812
Oklahoma97,20,0.025,0.3707865168539326,0.9590163934426228
Oklahoma97,20,0.05,0.4022988505747127,0.9521857923497268
Oklahoma97,20,0.075,0.4241245136186769,0.9398907103825136
Oklahoma97,20,0.1,0.4596211365902293,0.9193989071038252
Oklahoma97,20,0.125,0.4950980392156863,0.9153005464480874
Oklahoma97,20,0.15,0.5176226675881134,0.9034608378870674
Oklahoma97,20,0.175,0.5347305389221557,0.8954350370659383
Oklahoma97,20,0.2,0.5489159175039662,0.8801638784568112
Oklahoma97,20,0.025,0.4022988505747127,0.9508196721311476
Oklahoma97,20,0.05,0.4186046511627907,0.9494535519125684
Oklahoma97,20,0.075,0.4504623513870542,0.9289617486338798
Oklahoma97,20,0.1,0.4552683896620278,0.9269125683060108
Oklahoma97,20,0.125,0.5061728395061729,0.9153005464480874
Oklahoma97,20,0.15,0.5432185523541813,0.9034608378870674
Oklahoma97,20,0.175,0.5628048780487804,0.8938743659773702
Oklahoma97,20,0.2,0.5875338753387533,0.8873335609423011
Oklahoma97,20,0.025,0.3118279569892473,0.9508196721311476
Oklahoma97,20,0.05,0.4022988505747127,0.9467213114754098
Oklahoma97,20,0.075,0.4390563564875492,0.9435336976320584
Oklahoma97,20,0.1,0.4552683896620278,0.9398907103825136
Oklahoma97,20,0.125,0.4817813765182186,0.9295081967213116
Oklahoma97,20,0.15,0.5144827586206897,0.9157559198542804
Oklahoma97,20,0.175,0.5561627200971463,0.9087007413187672
Oklahoma97,20,0.2,0.5730397422126745,0.8938204165244108
Oklahoma97,20,0.025,0.3357664233576642,0.9754098360655736
Oklahoma97,20,0.05,0.3555555555555556,0.9685792349726776
Oklahoma97,20,0.075,0.3881163084702908,0.9489981785063752
Oklahoma97,20,0.1,0.3942857142857143,0.9398907103825136
Oklahoma97,20,0.125,0.4432176656151421,0.9278688524590164
Oklahoma97,20,0.15,0.4738255033557047,0.9212204007285976
Oklahoma97,20,0.175,0.5085344320188346,0.9071400702301988
Oklahoma97,20,0.2,0.5375328083989501,0.8986002048480709
Oklahoma97,20,0.025,0.3357664233576642,0.96448087431694
Oklahoma97,20,0.05,0.4076923076923077,0.9603825136612022
Oklahoma97,20,0.075,0.4447368421052632,0.9489981785063752
Oklahoma97,20,0.1,0.4596211365902293,0.9378415300546448
Oklahoma97,20,0.125,0.4616613418530352,0.9284153005464479
Oklahoma97,20,0.15,0.5061728395061729,0.9189435336976322
Oklahoma97,20,0.175,0.5402644230769231,0.9005072181037846
Oklahoma97,20,0.2,0.5505558496559025,0.8897234551041311
Oklahoma97,20,0.025,0.4076923076923077,0.9508196721311476
Oklahoma97,20,0.05,0.4381139489194499,0.9521857923497268
Oklahoma97,20,0.075,0.464,0.9389799635701276
Oklahoma97,20,0.1,0.480283114256825,0.9323770491803278
Oklahoma97,20,0.125,0.5024630541871922,0.9174863387978142
Oklahoma97,20,0.15,0.515527950310559,0.9043715846994536
Oklahoma97,20,0.175,0.5265038713519953,0.8868513460788139
Oklahoma97,20,0.2,0.5375328083989501,0.8764083304882212
Oklahoma97,20,0.025,0.4131274131274131,0.9508196721311476
Oklahoma97,20,0.05,0.466933867735471,0.9508196721311476
Oklahoma97,20,0.075,0.5144827586206897,0.9426229508196722
Oklahoma97,20,0.1,0.5378151260504201,0.930327868852459
Oklahoma97,20,0.125,0.5601023017902813,0.9174863387978142
Oklahoma97,20,0.15,0.5775862068965517,0.902094717668488
Oklahoma97,20,0.175,0.5988771054273238,0.88802184939524
Oklahoma97,20,0.2,0.5875338753387533,0.8774325708432912
Oklahoma97,20,0.025,0.3863636363636364,0.96448087431694
Oklahoma97,20,0.05,0.4049904030710173,0.9617486338797814
Oklahoma97,20,0.075,0.4601063829787234,0.9499089253187614
Oklahoma97,20,0.1,0.4954034729315629,0.9351092896174864
Oklahoma97,20,0.125,0.5301003344481605,0.9278688524590164
Oklahoma97,20,0.15,0.5552407932011332,0.9193989071038252
Oklahoma97,20,0.175,0.581122763726095,0.9075302380023408
Oklahoma97,20,0.2,0.5866738894907909,0.8955274837828611
Oklahoma97,20,0.025,0.3309090909090909,0.9453551912568308
Oklahoma97,20,0.05,0.3996175908221797,0.9453551912568308
Oklahoma97,20,0.075,0.4390563564875492,0.9353369763205828
Oklahoma97,20,0.1,0.4817813765182186,0.9323770491803278
Oklahoma97,20,0.125,0.4829821717990275,0.9262295081967212
Oklahoma97,20,0.15,0.5123966942148761,0.9184881602914392
Oklahoma97,20,0.175,0.5246876859012493,0.9102614124073352
Oklahoma97,20,0.2,0.5383403361344538,0.9020143393649708
Oklahoma97,20,0.025,0.4698795180722892,0.96448087431694
Oklahoma97,20,0.05,0.4758064516129033,0.9494535519125684
Oklahoma97,20,0.075,0.4959128065395095,0.9316939890710384
Oklahoma97,20,0.1,0.5092783505154639,0.9255464480874316
Oklahoma97,20,0.125,0.5061728395061729,0.9169398907103824
Oklahoma97,20,0.15,0.5218295218295218,0.9093806921675774
Oklahoma97,20,0.175,0.5458383594692401,0.8969957081545065
Oklahoma97,20,0.2,0.5613006396588486,0.8832365995220212
Oklahoma97,20,0.025,0.3811320754716981,0.9590163934426228
Oklahoma97,20,0.05,0.4022988505747127,0.9521857923497268
Oklahoma97,20,0.075,0.4315514993481095,0.9380692167577414
Oklahoma97,20,0.1,0.4552683896620278,0.9228142076502732
Oklahoma97,20,0.125,0.4734299516908213,0.9125683060109292
Oklahoma97,20,0.15,0.4969325153374233,0.900728597449909
Oklahoma97,20,0.175,0.5192649673977475,0.8856808427623878
Oklahoma97,20,0.2,0.5423907319641916,0.8706043018094913
Oklahoma97,20,0.025,0.27526132404181186,0.9590163934426228
Oklahoma97,20,0.05,0.3631284916201117,0.9658469945355193
Oklahoma97,20,0.075,0.4076923076923077,0.9508196721311476
Oklahoma97,20,0.1,0.4172313649564375,0.9419398907103824
Oklahoma97,20,0.125,0.4593301435406698,0.9377049180327868
Oklahoma97,20,0.15,0.480782198246797,0.9275956284153004
Oklahoma97,20,0.175,0.5165680473372781,0.9196254389387436
Oklahoma97,20,0.2,0.5343111576741749,0.9067941276886308
Oklahoma97,20,0.025,0.3505535055350554,0.9590163934426228
Oklahoma97,20,0.05,0.4076923076923077,0.9590163934426228
Oklahoma97,20,0.075,0.42782834850455137,0.9489981785063752
Oklahoma97,20,0.1,0.4567164179104478,0.9439890710382514
Oklahoma97,20,0.125,0.5,0.93224043715847
Oklahoma97,20,0.15,0.5356643356643357,0.9212204007285976
Oklahoma97,20,0.175,0.5695039804041642,0.9055793991416308
Oklahoma97,20,0.2,0.5901194353963084,0.8876749743939911
Oklahoma97,20,0.025,0.5378151260504201,0.9371584699453552
Oklahoma97,20,0.05,0.5281837160751566,0.9398907103825136
Oklahoma97,20,0.075,0.5207756232686981,0.9335154826958104
Oklahoma97,20,0.1,0.5297805642633229,0.9330601092896176
Oklahoma97,20,0.125,0.5469146238377007,0.9202185792349726
Oklahoma97,20,0.15,0.5663338088445078,0.9162112932604736
Oklahoma97,20,0.175,0.5714285714285714,0.9051892313694888
Oklahoma97,20,0.2,0.5755782678859602,0.8927961761693409
Oklahoma97,10,0.025,0.4581673306772908,0.9508196721311476
Oklahoma97,10,0.05,0.4523809523809524,0.9453551912568308
Oklahoma97,10,0.075,0.4837837837837838,0.9335154826958104
Oklahoma97,10,0.1,0.5061728395061729,0.9296448087431692
Oklahoma97,10,0.125,0.5391084945332212,0.9218579234972678
Oklahoma97,10,0.15,0.5388927820602663,0.9052823315118396
Oklahoma97,10,0.175,0.5523924894003635,0.8969957081545065
Oklahoma97,10,0.2,0.5721953837895867,0.8842608398770911
Oklahoma97,10,0.025,0.3118279569892473,0.9617486338797814
Oklahoma97,10,0.05,0.3942857142857143,0.9480874316939892
Oklahoma97,10,0.075,0.4167741935483871,0.9389799635701276
Oklahoma97,10,0.1,0.4437869822485207,0.9296448087431692
Oklahoma97,10,0.125,0.4675220529270249,0.9224043715846996
Oklahoma97,10,0.15,0.4867975626269465,0.9052823315118396
Oklahoma97,10,0.175,0.5219714964370546,0.8919235271166601
Oklahoma97,10,0.2,0.5303030303030303,0.8757255035848412
Oklahoma97,10,0.025,0.3605947955390335,0.9699453551912568
Oklahoma97,10,0.05,0.4296875,0.9617486338797814
Oklahoma97,10,0.075,0.4581673306772908,0.9544626593806922
Oklahoma97,10,0.1,0.4954034729315629,0.9412568306010928
Oklahoma97,10,0.125,0.5086562242374278,0.9316939890710384
Oklahoma97,10,0.15,0.5335195530726257,0.9212204007285976
Oklahoma97,10,0.175,0.5533333333333333,0.9165040967616076
Oklahoma97,10,0.2,0.5721953837895867,0.9050870604301808
Oklahoma97,10,0.025,0.3916349809885932,0.9480874316939892
Oklahoma97,10,0.05,0.4324853228962818,0.9453551912568308
Oklahoma97,10,0.075,0.4738255033557047,0.9408014571948998
Oklahoma97,10,0.1,0.4923547400611621,0.9323770491803278
Oklahoma97,10,0.125,0.5111478117258464,0.9240437158469944
Oklahoma97,10,0.15,0.5303135888501742,0.9125683060109292
Oklahoma97,10,0.175,0.5533333333333333,0.9008973858759266
Oklahoma97,10,0.2,0.5688269951794322,0.8856264936838512
Oklahoma97,10,0.025,0.3309090909090909,0.9781420765027322
Oklahoma97,10,0.05,0.4213592233009709,0.9726775956284152
Oklahoma97,10,0.075,0.465954606141522,0.9617486338797814
Oklahoma97,10,0.1,0.4938775510204082,0.9562841530054644
Oklahoma97,10,0.125,0.5074135090609555,0.9420765027322404
Oklahoma97,10,0.15,0.5207756232686981,0.936703096539162
Oklahoma97,10,0.175,0.5505142165759226,0.9239172844323058
Oklahoma97,10,0.2,0.5688269951794322,0.9149880505291909
Oklahoma97,10,0.025,0.3555555555555556,0.9699453551912568
Oklahoma97,10,0.05,0.4049904030710173,0.9521857923497268
Oklahoma97,10,0.075,0.4447368421052632,0.9435336976320584
Oklahoma97,10,0.1,0.46693386773547096,0.9310109289617486
