dataset,T2,clusters,min,mean
UNC28,20,4,0.424,0.6814383184178171
UNC28,20,5,0.4112903225806452,0.6876769234450334
UNC28,20,6,0.4173553719008264,0.7203323146167188
UNC28,20,7,0.3798076923076923,0.6681830246435406
UNC28,20,8,0.37560975609756103,0.7035267225495565
UNC28,20,4,0.421875,0.6808235009869562
UNC28,20,5,0.41796875,0.6966257007036304
UNC28,20,6,0.430327868852459,0.6974962155004238
UNC28,20,7,0.4320987654320987,0.7299529155940284
UNC28,20,8,0.4213197969543147,0.6917462555202277
UNC28,20,4,0.40384615384615385,0.6800268925165416
UNC28,20,5,0.3938223938223938,0.6920056787196481
UNC28,20,6,0.398406374501992,0.7063368716504144
UNC28,20,7,0.4087301587301587,0.7312864387057691
UNC28,20,8,0.4,0.7497145652232111
UNC28,20,4,0.4268292682926829,0.6825743499032877
UNC28,20,5,0.4256198347107438,0.6911905170791056
UNC28,20,6,0.4170212765957447,0.6925331026689561
UNC28,20,7,0.4137931034482759,0.6642004200053984
UNC28,20,8,0.4236453201970443,0.7008773769648966
UNC28,20,4,0.4140625,0.6808427178260896
UNC28,20,5,0.4094488188976378,0.6995267858688811
UNC28,20,6,0.4279661016949153,0.6919298346580235
UNC28,20,7,0.41152263374485604,0.7162014855070272
UNC28,20,8,0.4187192118226601,0.7060654329476204
UNC28,20,4,0.4291497975708502,0.6832794363514304
UNC28,20,5,0.41935483870967744,0.695377788823867
UNC28,20,6,0.4173553719008264,0.7376780969651501
UNC28,20,7,0.4158415841584158,0.7015210248691596
UNC28,20,8,0.3975155279503105,0.7022316435170042
UNC28,20,4,0.41200000000000003,0.6792937627704821
UNC28,20,5,0.4126984126984127,0.7017314755930745
UNC28,20,6,0.4410480349344978,0.6790295824027793
UNC28,20,7,0.4108910891089109,0.6785031083554519
UNC28,20,8,0.4108910891089109,0.7016408711858504
UNC28,20,4,0.4384057971014493,0.6860110869079072
UNC28,20,5,0.4307116104868914,0.7100596628635174
UNC28,20,6,0.4367816091954023,0.7171133920381868
UNC28,20,7,0.4252873563218391,0.7417168954515608
UNC28,20,8,0.0,0.6433943734180017
UNC28,20,4,0.4163424124513619,0.6796864410168861
UNC28,20,5,0.41245136186770426,0.6986398976049824
UNC28,20,6,0.4112903225806452,0.6988211056977107
UNC28,20,7,0.4023904382470119,0.7279864486980631
UNC28,20,8,0.4089068825910931,0.7346242188053461
UNC28,20,4,0.4244897959183673,0.6819071227672895
UNC28,20,5,0.4139344262295082,0.6962139771861124
UNC28,20,6,0.4201680672268908,0.7065212015269092
UNC28,20,7,0.4215686274509804,0.6933175964132252
UNC28,20,8,0.4215686274509804,0.7170756597839549
UNC28,20,4,0.42857142857142855,0.680522365682564
UNC28,20,5,0.4180327868852459,0.6812686507240129
UNC28,20,6,0.4309623430962343,0.6846792761489228
UNC28,20,7,0.4117647058823529,0.6708734302197633
UNC28,20,8,0.4158415841584158,0.7100282817611205
UNC28,20,4,0.42,0.6786781026346839
UNC28,20,5,0.4176706827309237,0.656064940977783
UNC28,20,6,0.4261603375527426,0.6826486300569603
UNC28,20,7,0.4279475982532751,0.7145012039206159
UNC28,20,8,0.4213197969543147,0.6972508505350467
UNC28,20,4,0.4233870967741936,0.680655141113473
UNC28,20,5,0.4186991869918699,0.6925150437050805
UNC28,20,6,0.4214876033057851,0.7141634550233501
UNC28,20,7,0.425531914893617,0.7318787600507511
UNC28,20,8,0.4261603375527426,0.7530613796678827
