dataset,clusters,min,mean
UNC28,4,0.42424242424242425,0.6797665576441669
UNC28,5,0.4031620553359684,0.6990717549366863
UNC28,6,0.4090909090909091,0.7074314377093613
UNC28,7,0.4,0.7177349362470791
UNC28,8,0.383495145631068,0.6928186126188796
UNC28,4,0.4090909090909091,0.666168148706627
UNC28,5,0.4085603112840467,0.6625496698806008
UNC28,6,0.42857142857142855,0.6892687586900301
UNC28,7,0.43333333333333335,0.7056506377151633
UNC28,8,0.4278606965174129,0.7088876311900765
UNC28,4,0.3935018050541516,0.6676927354649179
UNC28,5,0.4,0.6915242813401214
UNC28,6,0.3991935483870968,0.6939039499106534
UNC28,7,0.3904382470119522,0.7265278578340458
UNC28,8,0.4081632653061225,0.7403438606502183
UNC28,4,0.4330708661417323,0.6748345207533334
UNC28,5,0.4186991869918699,0.6970969809864571
UNC28,6,0.4273504273504273,0.7080060338667846
UNC28,7,0.42857142857142855,0.7306308651250039
UNC28,8,0.4181034482758621,0.7513030751296454
UNC28,4,0.4253731343283582,0.6736241008853511
UNC28,5,0.39763779527559057,0.6733105450063211
UNC28,6,0.4208333333333333,0.687543232455241
UNC28,7,0.3393939393939394,0.6485047485773533
UNC28,8,0.3393939393939394,0.6591961590816615
UNC28,4,0.4268774703557312,0.6745895630847756
UNC28,5,0.4089068825910931,0.6959728795604428
UNC28,6,0.4067796610169492,0.7050109510202108
UNC28,7,0.3231707317073171,0.6748542436254621
UNC28,8,0.3941176470588235,0.6997552920397928
UNC28,4,0.43775100401606426,0.6752535107486247
UNC28,5,0.4212765957446809,0.6823744626149895
UNC28,6,0.4241071428571429,0.6812554633216981
UNC28,7,0.4215246636771301,0.694953942583867
UNC28,8,0.3980582524271845,0.6794380842434088
UNC28,4,0.4290780141843972,0.6768970097110607
UNC28,5,0.4141791044776119,0.7057465464357301
UNC28,6,0.4128787878787879,0.7160077406559907
UNC28,7,0.4169884169884169,0.7207730958467141
UNC28,8,0.0,0.6402274232923189
UNC28,4,0.4089219330855017,0.6671792041156677
UNC28,5,0.3946360153256705,0.6707995848199259
UNC28,6,0.39915966386554624,0.6889668872784362
UNC28,7,0.056338028169014086,0.6243593274694874
UNC28,8,0.37554585152838427,0.7083334421830256
UNC28,4,0.4083969465648855,0.6637791630555945
UNC28,5,0.39357429718875503,0.6725830803168334
UNC28,6,0.4025423728813559,0.6918567305162807
UNC28,7,0.3990147783251232,0.6797649710057169
UNC28,8,0.3966244725738397,0.6846389440438678
UNC28,4,0.4302325581395349,0.6675266224487881
UNC28,5,0.4146341463414634,0.6779835183833758
UNC28,6,0.4219409282700422,0.6839113362159166
UNC28,7,0.41841004184100417,0.7094335700304378
UNC28,8,0.4152542372881356,0.7272750889254876
UNC28,4,0.4076923076923077,0.6757773330907955
UNC28,5,0.4163265306122449,0.6792613771357482
UNC28,6,0.423728813559322,0.6791052435369069
UNC28,7,0.4056603773584906,0.6810862656433118
UNC28,8,0.4,0.6750754368147476
UNC28,4,0.4186046511627907,0.6632896265209589
UNC28,5,0.4136546184738956,0.6908643031309147
UNC28,6,0.4139344262295082,0.7123845314752479
UNC28,7,0.3883928571428572,0.7003022625409867
UNC28,8,0.3811659192825112,0.6929983252707861
UNC28,4,0.4200743494423792,0.6601564732360979
UNC28,5,0.4173228346456693,0.6809520478282085
UNC28,6,0.4221311475409836,0.6818841293377506
UNC28,7,0.40562248995983935,0.7009684358905303
UNC28,8,0.3760330578512397,0.6956179165055574
UNC28,4,0.4342629482071713,0.6691183727091448
UNC28,5,0.4136546184738956,0.6839658849857406
UNC28,6,0.4372294372294373,0.7087825574914665
UNC28,7,0.4191919191919192,0.6747596925961789
UNC28,8,0.38497652582159625,0.6768274955073459
UNC28,4,0.41818181818181815,0.6782501594270368
UNC28,5,0.4131274131274131,0.6949010474264854
UNC28,6,0.412,0.6770585205065602
UNC28,7,0.4110671936758893,0.6945071882376529
UNC28,8,0.4258373205741627,0.702341458054337
UNC28,4,0.4072727272727273,0.67096450689881
UNC28,5,0.4150943396226415,0.7001329454417524
UNC28,6,0.0,0.5827457357926763
UNC28,7,0.0,0.6127419671446531
UNC28,8,0.0,0.6266322390657643
UNC28,4,0.456,0.6720353966793966
UNC28,5,0.4476987447698745,0.696441754997551
UNC28,6,0.4393305439330544,0.686139093540115
UNC28,7,0.2424242424242425,0.6903491571799174
UNC28,8,0.24675324675324675,0.6735916343629331
UNC28,4,0.4204545454545455,0.6716082143304699
UNC28,5,0.403921568627451,0.6851729787228491
UNC28,6,0.4107883817427386,0.6981055434879696
UNC28,7,0.4107883817427386,0.7242018702596491
UNC28,8,0.405940594059406,0.6892659892675337
UNC28,4,0.43243243243243246,0.6713963715611491
UNC28,5,0.4256198347107438,0.6932747692822823
UNC28,6,0.42857142857142855,0.7110016510011645
UNC28,7,0.417910447761194,0.6709388843267057
UNC28,8,0.40298507462686567,0.7101880707925798
