dataset,T2,ratio,div,recall
UNC28,20,0.025,1.1589403973509933,1.0
UNC28,20,0.05,1.0698412698412698,0.9953987730061352
UNC28,20,0.075,0.9658634538152612,0.9867211440245148
UNC28,20,0.1,0.8858381502890174,0.9777777777777776
UNC28,20,0.125,0.8503401360544217,0.9705882352941176
UNC28,20,0.15,0.8163265306122449,0.9647599591419816
UNC28,20,0.175,0.8055335968379447,0.9632224168126094
UNC28,20,0.2,0.8157162726008345,0.9559555725775564
UNC28,20,0.025,0.9878048780487804,0.9938650306748468
UNC28,20,0.05,0.957957957957958,0.9846625766871164
UNC28,20,0.075,0.9083820662768032,0.9805924412665986
UNC28,20,0.1,0.8696275071633238,0.978544061302682
UNC28,20,0.125,0.8780207134637514,0.9736519607843136
UNC28,20,0.15,0.8489140698772427,0.9673135852911132
UNC28,20,0.175,0.8286629303442754,0.9601576182136602
UNC28,20,0.2,0.8271518544436669,0.9528916124090386
UNC28,20,0.025,0.9520958083832336,0.9938650306748468
UNC28,20,0.05,0.8314606741573034,0.99079754601227
UNC28,20,0.075,0.8096118299445472,0.9846782431052092
UNC28,20,0.1,0.7706919945725916,0.9793103448275862
UNC28,20,0.125,0.7529538131041891,0.9693627450980392
UNC28,20,0.15,0.7544802867383512,0.9632277834525026
UNC28,20,0.175,0.7664346481051817,0.9544658493870404
UNC28,20,0.2,0.7488278633623576,0.9471466870930678
UNC28,20,0.025,0.9757575757575756,0.9938650306748468
UNC28,20,0.05,0.9404761904761904,0.9846625766871164
UNC28,20,0.075,0.8754789272030651,0.9785495403472932
UNC28,20,0.1,0.8380281690140845,0.9762452107279692
UNC28,20,0.125,0.8214285714285714,0.9705882352941176
UNC28,20,0.15,0.8213953488372093,0.9627170582226762
UNC28,20,0.175,0.8155802861685215,0.9575306479859896
UNC28,20,0.2,0.8081717451523546,0.949444657219456
UNC28,20,0.025,1.050314465408805,0.98159509202454
UNC28,20,0.05,0.9347181008902076,0.98159509202454
UNC28,20,0.075,0.8541666666666666,0.9826353421859041
UNC28,20,0.1,0.8226256983240223,0.9762452107279692
UNC28,20,0.125,0.7993384785005513,0.9705882352941176
UNC28,20,0.15,0.7544802867383512,0.9673135852911132
UNC28,20,0.175,0.7691711851278079,0.961908931698774
UNC28,20,0.2,0.7418278852568378,0.9555725775564916
UNC28,20,0.025,1.1733333333333331,0.98159509202454
UNC28,20,0.05,1.0185758513931888,0.9892638036809815
UNC28,20,0.075,0.9424603174603174,0.9836567926455568
UNC28,20,0.1,0.8723098995695839,0.9800766283524904
UNC28,20,0.125,0.8295964125560538,0.9705882352941176
UNC28,20,0.15,0.8096118299445472,0.965270684371808
UNC28,20,0.175,0.8041074249605056,0.9570928196147108
UNC28,20,0.2,0.7994486560992419,0.9486786671773269
UNC28,20,0.025,1.1879194630872485,0.9846625766871164
UNC28,20,0.05,1.130718954248366,0.98159509202454
UNC28,20,0.075,0.9386138613861386,0.9785495403472932
UNC28,20,0.1,0.9162995594713657,0.9739463601532568
UNC28,20,0.125,0.8440677966101695,0.9730392156862744
UNC28,20,0.15,0.8559241706161137,0.9693564862104188
UNC28,20,0.175,0.8404512489927478,0.9640980735551664
UNC28,20,0.2,0.8233240223463687,0.9540405974722328
UNC28,20,0.025,0.9878048780487804,0.9846625766871164
UNC28,20,0.05,0.9817629179331308,0.98159509202454
UNC28,20,0.075,0.8718929254302104,0.9673135852911132
UNC28,20,0.1,0.8406205923836391,0.9632183908045976
UNC28,20,0.125,0.8093126385809313,0.9522058823529412
UNC28,20,0.15,0.7946837763519706,0.9494382022471908
UNC28,20,0.175,0.8055335968379447,0.9426444833625219
UNC28,20,0.2,0.7945017182130584,0.9352738414400612
UNC28,20,0.025,1.1168831168831168,0.9754601226993864
UNC28,20,0.05,1.0061538461538462,0.9769938650306748
UNC28,20,0.075,0.9083820662768032,0.9713993871297242
UNC28,20,0.1,0.8804034582132565,0.9701149425287356
UNC28,20,0.125,0.8524404086265607,0.9693627450980392
UNC28,20,0.15,0.8471698113207548,0.9637385086823288
UNC28,20,0.175,0.8228252194732641,0.9592819614711032
UNC28,20,0.2,0.8069204152249135,0.9525086173879741
UNC28,20,0.025,1.1733333333333331,0.99079754601227
UNC28,20,0.05,1.0897435897435896,0.9846625766871164
UNC28,20,0.075,1.0395833333333333,0.982635342185904
UNC28,20,0.1,0.9772727272727272,0.9754789272030652
UNC28,20,0.125,0.9268004722550176,0.9730392156862744
UNC28,20,0.15,0.8665395614871306,0.9637385086823288
UNC28,20,0.175,0.8523925385239254,0.9575306479859896
UNC28,20,0.2,0.8544034090909091,0.9521256223669092
UNC28,20,0.025,0.7912087912087912,0.9846625766871164
UNC28,20,0.05,0.8522727272727273,0.9861963190184048
UNC28,20,0.075,0.812962962962963,0.985699693564862
UNC28,20,0.1,0.8074792243767313,0.9800766283524904
UNC28,20,0.125,0.8073089700996677,0.9742647058823528
UNC28,20,0.15,0.7996323529411765,0.9688457609805924
UNC28,20,0.175,0.778816199376947,0.962784588441331
UNC28,20,0.2,0.7883561643835616,0.9586365377250096
UNC28,20,0.025,0.9289940828402368,0.9846625766871164
UNC28,20,0.05,0.8953488372093024,0.99079754601227
UNC28,20,0.075,0.8299065420560747,0.982635342185904
UNC28,20,0.1,0.8049792531120332,0.978544061302682
UNC28,20,0.125,0.7914379802414928,0.9724264705882352
UNC28,20,0.15,0.7946837763519706,0.9673135852911132
UNC28,20,0.175,0.7913725490196079,0.9623467600700524
UNC28,20,0.2,0.8056708160442599,0.9540405974722328
UNC28,20,0.025,1.2027027027027026,0.9938650306748468
UNC28,20,0.05,1.103225806451613,0.99079754601227
UNC28,20,0.075,1.0020449897750512,0.9836567926455568
UNC28,20,0.1,0.9535928143712576,0.9808429118773946
UNC28,20,0.125,0.8867052023121387,0.9761029411764706
UNC28,20,0.15,0.8524124881740776,0.970888661899898
UNC28,20,0.175,0.8538961038961039,0.9623467600700524
UNC28,20,0.2,0.8374384236453202,0.9532746074301034
UNC28,20,0.025,0.9878048780487804,0.9938650306748468
UNC28,20,0.05,0.8628571428571429,0.9892638036809815
UNC28,20,0.075,0.8402255639097744,0.985699693564862
UNC28,20,0.1,0.7975206611570248,0.9831417624521072
UNC28,20,0.125,0.7816593886462883,0.9785539215686274
UNC28,20,0.15,0.7897623400365631,0.9719101123595506
UNC28,20,0.175,0.784375,0.9667250437828372
UNC28,20,0.2,0.7945017182130584,0.9548065875143624
UNC28,20,0.025,0.9064327485380116,0.98159509202454
UNC28,20,0.05,0.8628571428571429,0.98159509202454
UNC28,20,0.075,0.8096118299445472,0.9775280898876404
UNC28,20,0.1,0.756393001345895,0.9777777777777776
UNC28,20,0.125,0.7454545454545455,0.9730392156862744
UNC28,20,0.15,0.7450980392156863,0.9719101123595506
UNC28,20,0.175,0.7382039573820396,0.9649737302977232
UNC28,20,0.2,0.7570659488559892,0.9563385675986212
UNC28,20,0.025,0.8628571428571429,0.97239263803681
UNC28,20,0.05,0.9008746355685132,0.98159509202454
UNC28,20,0.075,0.8367729831144465,0.9775280898876404
UNC28,20,0.1,0.8354430379746836,0.9708812260536398
UNC28,20,0.125,0.8073089700996677,0.9742647058823528
UNC28,20,0.15,0.793040293040293,0.9693564862104188
UNC28,20,0.175,0.778816199376947,0.962784588441331
UNC28,20,0.2,0.7846889952153109,0.9544235924932976
UNC28,20,0.025,1.1168831168831168,0.98159509202454
UNC28,20,0.05,1.0248447204968945,0.9831288343558282
UNC28,20,0.075,0.9386138613861386,0.9734422880490295
UNC28,20,0.1,0.8589743589743589,0.9662835249042144
UNC28,20,0.125,0.8737083811710677,0.9601715686274508
UNC28,20,0.15,0.8541666666666666,0.9586312563840652
UNC28,20,0.175,0.8098256735340729,0.9500875656742556
UNC28,20,0.2,0.7883561643835616,0.9444657219456148
UNC28,20,0.025,1.2176870748299322,0.9938650306748468
UNC28,20,0.05,0.9938837920489296,0.9861963190184048
UNC28,20,0.075,0.8718929254302104,0.9805924412665986
UNC28,20,0.1,0.8125,0.9770114942528736
UNC28,20,0.125,0.8193979933110368,0.9736519607843136
UNC28,20,0.15,0.8247903075489282,0.9673135852911132
UNC28,20,0.175,0.8098256735340729,0.9610332749562172
UNC28,20,0.2,0.7957359009628611,0.9551895825354272
UNC28,20,0.025,1.0,0.9969325153374232
UNC28,20,0.05,0.9120234604105572,0.9877300613496932
UNC28,20,0.075,0.8826923076923077,0.9897854954034728
UNC28,20,0.1,0.8049792531120332,0.98544061302682
UNC28,20,0.125,0.7567276641550054,0.9779411764705882
UNC28,20,0.15,0.7466547725245317,0.9729315628192032
