dataset,ratio,div,recall
UNC28,0.025,0.6059113300492611,1.0
UNC28,0.05,0.6717948717948717,0.9984662576687116
UNC28,0.075,0.6453781512605042,0.9948927477017364
UNC28,0.1,0.6251556662515566,0.9877394636015324
UNC28,0.125,0.6254980079681275,0.982843137254902
UNC28,0.15,0.6453781512605042,0.9800817160367722
UNC28,0.175,0.6744868035190615,0.975043782837128
UNC28,0.2,0.7009771986970684,0.9670624281884336
UNC28,0.025,0.4488888888888889,0.9969325153374232
UNC28,0.05,0.4885844748858447,0.9938650306748468
UNC28,0.075,0.5061538461538462,0.9897854954034728
UNC28,0.1,0.5685096153846154,0.98544061302682
UNC28,0.125,0.5953079178885631,0.9822303921568628
UNC28,0.15,0.6357560568086884,0.9744637385086824
UNC28,0.175,0.6647230320699709,0.9684763572679508
UNC28,0.2,0.6866925064599483,0.9632324779777864
UNC28,0.025,0.3640167364016737,1.0
UNC28,0.05,0.42047930283224394,0.9938650306748468
UNC28,0.075,0.4788519637462236,0.9938712972420838
UNC28,0.1,0.5209790209790209,0.98544061302682
UNC28,0.125,0.5677233429394812,0.9779411764705882
UNC28,0.15,0.5828617623282134,0.9703779366700716
UNC28,0.175,0.6210078069552875,0.9654115586690016
UNC28,0.2,0.6473186119873817,0.9574875526618154
UNC28,0.025,0.5162790697674419,0.9969325153374232
UNC28,0.05,0.5635491606714629,0.99079754601227
UNC28,0.075,0.5739549839228296,0.9877425944841676
UNC28,0.1,0.5875912408759124,0.9823754789272032
UNC28,0.125,0.6190476190476191,0.9803921568627452
UNC28,0.15,0.6343906510851419,0.9744637385086824
UNC28,0.175,0.6514822848879248,0.967600700525394
UNC28,0.2,0.6932555123216602,0.960934507851398
UNC28,0.025,0.5598086124401914,0.9938650306748468
UNC28,0.05,0.5377358490566038,0.9861963190184048
UNC28,0.075,0.553968253968254,0.9836567926455568
UNC28,0.1,0.5779927448609432,0.9869731800766284
UNC28,0.125,0.5968688845401174,0.9822303921568628
UNC28,0.15,0.6168455821635013,0.9759959141981612
UNC28,0.175,0.6384505021520803,0.9724168126094572
UNC28,0.2,0.6452425960932577,0.96514745308311
UNC28,0.025,0.4361233480176212,0.98159509202454
UNC28,0.05,0.5560859188544153,0.9892638036809815
UNC28,0.075,0.5815831987075929,0.9908069458631256
UNC28,0.1,0.6373902132998746,0.9862068965517241
UNC28,0.125,0.6190476190476191,0.9810049019607844
UNC28,0.15,0.6509274873524452,0.9744637385086824
UNC28,0.175,0.6598837209302325,0.9684763572679508
UNC28,0.2,0.6747915330339962,0.960934507851398
UNC28,0.025,0.5673076923076923,0.9938650306748468
UNC28,0.05,0.5980392156862745,0.99079754601227
UNC28,0.075,0.5944625407166124,0.9887640449438202
UNC28,0.1,0.6051660516605166,0.9823754789272032
UNC28,0.125,0.6352705410821643,0.9767156862745098
UNC28,0.15,0.6663829787234042,0.973953013278856
UNC28,0.175,0.6881005173688101,0.9689141856392294
UNC28,0.2,0.7043080939947781,0.9639984680199156
UNC28,0.025,0.4618834080717489,0.98159509202454
UNC28,0.05,0.5057736720554272,0.9831288343558282
UNC28,0.075,0.5689102564102564,0.9816138917262512
UNC28,0.1,0.5875912408759124,0.9739463601532568
UNC28,0.125,0.6238805970149254,0.96875
UNC28,0.15,0.6579170194750211,0.959652706843718
UNC28,0.175,0.6794117647058824,0.9509632224168126
UNC28,0.2,0.6921581335061568,0.9463806970509384
UNC28,0.025,0.4553571428571429,0.9846625766871164
UNC28,0.05,0.5023041474654378,0.9861963190184048
UNC28,0.075,0.539308176100629,0.9846782431052092
UNC28,0.1,0.5992647058823529,0.9823754789272032
UNC28,0.125,0.6222664015904572,0.9773284313725492
UNC28,0.15,0.6412405699916177,0.9713993871297242
UNC28,0.175,0.6683710737764792,0.9684763572679508
UNC28,0.2,0.6812620734063104,0.9639984680199156
UNC28,0.025,0.6464646464646465,0.9938650306748468
UNC28,0.05,0.6259351620947631,0.99079754601227
UNC28,0.075,0.6453781512605042,0.985699693564862
UNC28,0.1,0.6435768261964736,0.9846743295019156
UNC28,0.125,0.6807415036045315,0.9797794117647058
UNC28,0.15,0.6763698630136986,0.9775280898876404
UNC28,0.175,0.6881005173688101,0.9689141856392294
UNC28,0.2,0.6998697916666666,0.9639984680199156
UNC28,0.025,0.3755274261603376,0.9846625766871164
