dataset,alpha,auc,ap,dp,true,false,fnr,tnr
citeseer,1.0,0.8185129584262005,0.8490011792753256,0.1477877160856162,0.05267149700591753,0.05693554193367011,0.12465114536702315,0.1831890331890332
citeseer,1.0,0.8250566413085524,0.8560385345353503,0.12802734710789354,0.07548261367499637,0.024188647688102825,0.1827777777777778,0.13132945485886666
citeseer,1.0,0.827128884304371,0.8557655801245778,0.14238354787206942,0.0846015657676839,0.01855580279343076,0.16614161416141615,0.10686396862185772
citeseer,1.0,0.7921908673948683,0.8158414317390749,0.14135184219821414,0.05536495224946405,0.07210938351175303,0.11923363095238095,0.19088738429333071
citeseer,1.0,0.831743078708394,0.8583635468639317,0.17050853506684244,0.10824915107809202,0.010465721529386431,0.2297430083144369,0.06277056277056277
citeseer,1.0,0.8017462100978099,0.8471322817885267,0.11099445028854447,0.02888384991743648,0.04232487836001863,0.10133422778771617,0.12885595182955073
citeseer,1.0,0.7747057414945937,0.8101676754637959,0.10692471159840528,0.06594465530813466,0.0073291604567870565,0.1258964143426295,0.0697403887076181
citeseer,1.0,0.7623781981616902,0.7695000527045814,0.09646560026315162,0.03988408765829378,0.021679115328882788,0.10674994810635367,0.09503039915411048
citeseer,1.0,0.7092965425776858,0.7006906390546577,0.12250284804470128,0.0614758089378433,0.12129731254891685,0.12068028994736744,0.15152081775118426
citeseer,1.0,0.7963399583709406,0.8308691308780215,0.1274553697358586,0.050840006724210365,0.049735939563313375,0.1663690476190476,0.16618956242725472
citeseer,1.0,0.8237165908379229,0.862293923001103,0.11627789360798893,0.017749721218782922,0.032108740187121204,0.06692686553294304,0.18298400441257584
citeseer,1.0,0.756668017462101,0.8009537508671878,0.0963570149802502,0.062267678645219975,0.02016495791329036,0.15192743764172334,0.07339423909703015
citeseer,1.0,0.8095194238243474,0.8508056927240178,0.12515837835609256,0.03205660354880955,0.05820359765281353,0.08428571428571427,0.2028652096622399
citeseer,1.0,0.7902613789165392,0.8135503815871556,0.09934616500068097,0.017565102107718264,0.06344802177932163,0.1493984962406015,0.12363416178130075
citeseer,1.0,0.8361224189062242,0.8642716635286112,0.12017237005853355,0.04371418114766435,0.024052455318430525,0.10181892651685813,0.09933537984680953
citeseer,1.0,0.8177853708854464,0.8601979281612655,0.13784410760437474,0.05574961947898693,0.03993102424823451,0.12132188200149364,0.14097186700767264
citeseer,1.0,0.8102239864429259,0.8560565583325715,0.15971712762150486,0.08679095435905694,0.04408973463044235,0.17767133382461311,0.15893792071802545
citeseer,1.0,0.8099108475013355,0.8495795385366599,0.128620743203696,0.05989138523124452,0.016353609493089078,0.17510678380243594,0.10307501378929952
citeseer,1.0,0.821699607655326,0.8604439436348741,0.12209946295611165,0.030215288425694133,0.023875336222693496,0.1379323051977963,0.10016043285413193
citeseer,1.0,0.8068024830076075,0.8499417422599956,0.13469979968836435,0.07043031292573991,0.0166428633352571,0.14817613772510274,0.09715260017050298
citeseer,5.0,0.7538359520344822,0.7486866179924804,0.15263004496839372,0.09953599571702547,0.013591746546826943,0.22482159246286687,0.13297258297258294
citeseer,5.0,0.7101461622059717,0.6880171890102789,0.13001643082575032,0.08621706869032092,0.03770915767082353,0.1991111111111111,0.1103749191984486
citeseer,5.0,0.6864650297481995,0.6859129155506751,0.1277951463011519,0.1064093813316172,0.007602632393441414,0.2581008100810081,0.08251025138170796
citeseer,5.0,0.6951638453462027,0.6786646732529162,0.13104561598604336,0.10888368494316714,0.026410255823899862,0.1683779761904762,0.10175645177117064
citeseer,5.0,0.7325678314207298,0.7357288042318746,0.14149673466992713,0.09317538596671954,0.001980142179861098,0.15434618291761149,0.06955266955266955
citeseer,5.0,0.7074154064359262,0.6836738774588134,0.08754047733175514,0.0513200458021389,0.00037540189145226935,0.09421586165772212,0.1079203334877258
citeseer,5.0,0.7102083294958463,0.7306951924650473,0.12063891334812693,0.06307124991696555,0.06248565827908185,0.11246178078384138,0.1398212512413108
citeseer,5.0,0.7307051152167106,0.7429492316993144,0.11825757726205614,0.05975907160244465,0.012411392328996249,0.12329930368161833,0.057626222574676186
citeseer,5.0,0.7167289874560223,0.679582221773714,0.12041852237171667,0.06840508444223271,0.03945350194416145,0.17046582629380586,0.07504363001745201
citeseer,5.0,0.7339470242590581,0.7291905188175507,0.1602979037461573,0.12084354522317492,0.05585448148106829,0.24207589285714284,0.1184057378338419
citeseer,5.0,0.7560371345944852,0.7731996912246335,0.1256845087782499,0.05182992038128323,0.024124990143008302,0.11956137905399128,0.13141202426916712
citeseer,5.0,0.7255659525870802,0.7452587685025229,0.1018235301819195,0.06026861525443907,0.027990571495326824,0.11662887377173092,0.07708211102729584
citeseer,5.0,0.7395835252076848,0.7459769558966791,0.1221819420678376,0.059772292692743326,0.01166911862958305,0.13616541353383455,0.08560772421485588
citeseer,5.0,0.6632812356094236,0.6193714754121081,0.06609627858535844,0.02523468775824506,0.06930387641721049,0.07037593984962406,0.10384498940357252
citeseer,5.0,0.7182624472729282,0.7275613948291533,0.09265397387023636,0.05544697188391632,0.01914275531799642,0.1404129354160073,0.06813101660060203
citeseer,5.0,0.7083893606439611,0.7193877998567171,0.13557541533267498,0.09315107888098884,0.025175627302519942,0.16990291262135926,0.09104859335038364
citeseer,5.0,0.7306176205124426,0.7409013354795506,0.16225312043440285,0.08635449179545443,0.09978488604469317,0.17925571112748712,0.1820618299675892
citeseer,5.0,0.7291002781410599,0.7319472699662465,0.15359775181864652,0.06335855680124422,0.09759479370310828,0.11430063603976648,0.19670435741864314
