dataset,T2,ratio,div,recall
citeseer,20,0.025,2.833333333333333,1.0
citeseer,20,0.05,2.2857142857142856,1.0
citeseer,20,0.075,1.76,0.9855072463768116
citeseer,20,0.1,1.6571428571428573,0.989247311827957
citeseer,20,0.125,1.6976744186046508,0.9913793103448276
citeseer,20,0.15,1.6730769230769231,0.9712230215827338
citeseer,20,0.175,1.5076923076923077,0.9754601226993864
citeseer,20,0.2,1.5135135135135136,0.967741935483871
citeseer,20,0.025,0.9166666666666666,0.9565217391304348
citeseer,20,0.05,0.84,0.9782608695652174
citeseer,20,0.075,0.8648648648648649,0.9855072463768116
citeseer,20,0.1,0.8979591836734694,0.978494623655914
citeseer,20,0.125,0.9333333333333332,0.9741379310344828
citeseer,20,0.15,0.9857142857142858,0.9712230215827338
citeseer,20,0.175,0.9878048780487804,0.9754601226993864
citeseer,20,0.2,0.9787234042553192,0.9516129032258064
citeseer,20,0.025,1.3,1.0
citeseer,20,0.05,1.3,0.9565217391304348
citeseer,20,0.075,1.2258064516129032,0.9710144927536232
citeseer,20,0.1,1.162790697674419,0.967741935483871
citeseer,20,0.125,1.1886792452830188,0.956896551724138
citeseer,20,0.15,1.171875,0.9568345323741008
citeseer,20,0.175,1.2027027027027026,0.950920245398773
citeseer,20,0.2,1.1379310344827591,0.9516129032258064
citeseer,20,0.025,2.2857142857142856,1.0
citeseer,20,0.05,1.4210526315789471,1.0
citeseer,20,0.075,1.4642857142857142,0.9855072463768116
citeseer,20,0.1,1.5833333333333333,0.989247311827957
citeseer,20,0.125,1.4680851063829787,0.9913793103448276
citeseer,20,0.15,1.5272727272727271,0.9856115107913668
citeseer,20,0.175,1.3623188405797102,0.9754601226993864
citeseer,20,0.2,1.325,0.967741935483871
citeseer,20,0.025,1.3,0.9565217391304348
citeseer,20,0.05,1.5555555555555556,0.9782608695652174
citeseer,20,0.075,1.3,0.9855072463768116
citeseer,20,0.1,1.3846153846153846,0.967741935483871
citeseer,20,0.125,1.2745098039215683,0.9741379310344828
citeseer,20,0.15,1.2063492063492065,0.9712230215827338
citeseer,20,0.175,1.2638888888888888,0.9631901840490796
citeseer,20,0.2,1.2962962962962965,0.956989247311828
citeseer,20,0.025,1.3,0.9565217391304348
citeseer,20,0.05,1.875,0.9782608695652174
citeseer,20,0.075,1.76,0.9855072463768116
citeseer,20,0.1,1.4473684210526316,0.978494623655914
citeseer,20,0.125,1.4680851063829787,0.9827586206896552
citeseer,20,0.15,1.5740740740740742,0.9712230215827338
citeseer,20,0.175,1.6721311475409837,0.9570552147239264
citeseer,20,0.2,1.5833333333333333,0.9354838709677421
citeseer,20,0.025,4.75,1.0
citeseer,20,0.05,4.111111111111111,1.0
citeseer,20,0.075,3.3125,1.0
citeseer,20,0.1,2.2068965517241383,1.0
citeseer,20,0.125,2.0526315789473686,1.0
citeseer,20,0.15,1.6730769230769231,1.0
citeseer,20,0.175,1.5076923076923077,0.98159509202454
citeseer,20,0.2,1.3544303797468351,0.9784946236559141
citeseer,20,0.025,1.5555555555555556,1.0
citeseer,20,0.05,1.4210526315789471,1.0
citeseer,20,0.075,1.4642857142857142,1.0
citeseer,20,0.1,1.5833333333333333,1.0
citeseer,20,0.125,1.5217391304347827,1.0
citeseer,20,0.15,1.6226415094339623,0.9928057553956836
citeseer,20,0.175,1.5873015873015872,0.9938650306748468
citeseer,20,0.2,1.6956521739130437,0.978494623655914
citeseer,20,0.025,2.2857142857142856,1.0
citeseer,20,0.05,2.066666666666667,1.0
citeseer,20,0.075,2.0,1.0
citeseer,20,0.1,2.1,1.0
citeseer,20,0.125,1.9,0.9913793103448276
citeseer,20,0.15,1.7254901960784317,0.9856115107913668
citeseer,20,0.175,1.7166666666666666,0.98159509202454
citeseer,20,0.2,1.7761194029850746,0.967741935483871
citeseer,20,0.025,1.3,1.0
citeseer,20,0.05,1.1904761904761905,1.0
citeseer,20,0.075,1.0294117647058822,1.0
citeseer,20,0.1,1.325,1.0
citeseer,20,0.125,1.32,1.0
citeseer,20,0.15,1.278688524590164,1.0
citeseer,20,0.175,1.295774647887324,0.9877300613496932
citeseer,20,0.2,1.325,0.978494623655914
citeseer,20,0.025,1.875,0.9565217391304348
citeseer,20,0.05,1.1904761904761905,0.9782608695652174
citeseer,20,0.075,1.0909090909090908,0.9855072463768116
citeseer,20,0.1,1.1136363636363635,0.989247311827957
citeseer,20,0.125,1.0350877192982455,0.9827586206896552
citeseer,20,0.15,1.106060606060606,0.9712230215827338
citeseer,20,0.175,1.295774647887324,0.950920245398773
citeseer,20,0.2,1.2142857142857142,0.9516129032258064
citeseer,20,0.025,3.6,1.0
citeseer,20,0.05,1.7058823529411764,1.0
citeseer,20,0.075,1.4642857142857142,1.0
citeseer,20,0.1,1.2142857142857142,1.0
citeseer,20,0.125,1.3673469387755102,1.0
citeseer,20,0.15,1.3965517241379308,0.9928057553956836
citeseer,20,0.175,1.4696969696969695,0.9877300613496932
citeseer,20,0.2,1.4155844155844155,0.9731182795698924
citeseer,20,0.025,1.875,1.0
citeseer,20,0.05,2.066666666666667,1.0
citeseer,20,0.075,1.3793103448275863,1.0
citeseer,20,0.1,1.325,1.0
citeseer,20,0.125,1.4680851063829787,0.9913793103448276
citeseer,20,0.15,1.5272727272727271,0.9856115107913668
citeseer,20,0.175,1.546875,0.9754601226993864
citeseer,20,0.2,1.5833333333333333,0.9623655913978496
citeseer,20,0.025,0.9166666666666666,0.9565217391304348
citeseer,20,0.05,1.1904761904761905,0.9782608695652174
citeseer,20,0.075,1.2258064516129032,0.9855072463768116
citeseer,20,0.1,1.4473684210526316,0.989247311827957
citeseer,20,0.125,1.6363636363636365,0.9913793103448276
citeseer,20,0.15,1.7254901960784317,0.9784172661870504
citeseer,20,0.175,1.8103448275862069,0.9754601226993864
citeseer,20,0.2,1.547945205479452,0.967741935483871
citeseer,20,0.025,0.5333333333333333,1.0
citeseer,20,0.05,0.84,0.9565217391304348
citeseer,20,0.075,1.0909090909090908,0.9565217391304348
citeseer,20,0.1,1.325,0.946236559139785
citeseer,20,0.125,1.32,0.9482758620689656
citeseer,20,0.15,1.4821428571428572,0.9424460431654677
citeseer,20,0.175,1.4328358208955223,0.9325153374233128
citeseer,20,0.2,1.48,0.8817204301075269
citeseer,20,0.025,2.833333333333333,1.0
citeseer,20,0.05,1.5555555555555556,1.0
citeseer,20,0.075,1.6538461538461535,1.0
citeseer,20,0.1,1.4473684210526316,1.0
citeseer,20,0.125,1.32,1.0
citeseer,20,0.15,1.3965517241379308,1.0
citeseer,20,0.175,1.5076923076923077,0.9938650306748468
citeseer,20,0.2,1.4473684210526316,0.9838709677419356
citeseer,20,0.025,1.3,1.0
citeseer,20,0.05,0.9166666666666666,1.0
citeseer,20,0.075,0.6829268292682927,1.0
citeseer,20,0.1,0.7884615384615384,1.0
citeseer,20,0.125,0.8125,1.0
citeseer,20,0.15,0.7820512820512819,0.9928057553956836
citeseer,20,0.175,0.8314606741573034,0.9877300613496932
citeseer,20,0.2,0.8058252427184466,0.9731182795698924
citeseer,20,0.025,1.5555555555555556,1.0
citeseer,20,0.05,1.3,0.9782608695652174
citeseer,20,0.075,0.9714285714285714,0.9855072463768116
citeseer,20,0.1,1.2682926829268293,0.978494623655914
citeseer,20,0.125,1.3673469387755102,0.956896551724138
citeseer,20,0.15,1.278688524590164,0.9496402877697842
citeseer,20,0.175,1.3970588235294117,0.950920245398773
citeseer,20,0.2,1.4155844155844155,0.9516129032258064
citeseer,20,0.025,1.3,1.0
citeseer,20,0.05,0.84,1.0
citeseer,20,0.075,0.9714285714285714,1.0
citeseer,20,0.1,1.1136363636363635,1.0
citeseer,20,0.125,1.1090909090909091,0.9913793103448276
citeseer,20,0.15,1.171875,0.9928057553956836
citeseer,20,0.175,1.1733333333333331,0.9877300613496932
citeseer,20,0.2,1.1379310344827591,0.9516129032258064
citeseer,20,0.025,1.5555555555555556,1.0
citeseer,20,0.05,1.3,0.9782608695652174
citeseer,20,0.075,1.4642857142857142,0.9855072463768116
