dataset,ratio,div,recall
citeseer,0.025,0.9166666666666666,0.9565217391304348
citeseer,0.05,0.7037037037037037,0.9565217391304348
citeseer,0.075,0.8157894736842105,0.9710144927536232
citeseer,0.1,0.9787234042553192,0.967741935483871
citeseer,0.125,1.1090909090909091,0.9741379310344828
citeseer,0.15,1.0746268656716418,0.9784172661870504
citeseer,0.175,1.1168831168831168,0.98159509202454
citeseer,0.2,1.0898876404494382,0.9784946236559141
citeseer,0.025,0.7692307692307693,1.0
citeseer,0.05,1.0,0.9782608695652174
citeseer,0.075,0.8157894736842105,0.9855072463768116
citeseer,0.1,0.7547169811320755,0.978494623655914
citeseer,0.125,0.8412698412698413,0.9741379310344828
citeseer,0.15,0.8289473684210527,0.9784172661870504
citeseer,0.175,0.8111111111111111,0.98159509202454
citeseer,0.2,0.8979591836734694,0.978494623655914
citeseer,0.025,0.4375,0.9565217391304348
citeseer,0.05,0.6428571428571429,0.9565217391304348
citeseer,0.075,0.8648648648648649,0.9710144927536232
citeseer,0.1,0.86,0.967741935483871
citeseer,0.125,1.0,0.9655172413793104
citeseer,0.15,0.8783783783783784,0.9640287769784172
citeseer,0.175,0.9404761904761904,0.9693251533742332
citeseer,0.2,0.8787878787878788,0.9623655913978496
citeseer,0.025,2.2857142857142856,1.0
citeseer,0.05,1.3,1.0
citeseer,0.075,1.2258064516129032,1.0
citeseer,0.1,1.162790697674419,1.0
citeseer,0.125,1.2745098039215683,1.0
citeseer,0.15,1.2063492063492065,1.0
citeseer,0.175,1.295774647887324,1.0
citeseer,0.2,1.2142857142857142,0.989247311827957
citeseer,0.025,0.9166666666666666,1.0
citeseer,0.05,1.1904761904761905,0.9782608695652174
citeseer,0.075,1.2258064516129032,0.9710144927536232
citeseer,0.1,1.162790697674419,0.9784946236559141
citeseer,0.125,1.0714285714285714,0.9741379310344828
citeseer,0.15,0.9577464788732394,0.9784172661870504
citeseer,0.175,0.9176470588235294,0.9754601226993864
citeseer,0.2,0.9787234042553192,0.9731182795698924
citeseer,0.025,0.6428571428571429,1.0
citeseer,0.05,1.1904761904761905,1.0
citeseer,0.075,1.0294117647058822,1.0
citeseer,0.1,1.0666666666666669,1.0
citeseer,0.125,1.0714285714285714,0.9827586206896552
citeseer,0.15,1.1384615384615384,0.9784172661870504
citeseer,0.175,1.0897435897435896,0.98159509202454
citeseer,0.2,1.162790697674419,0.978494623655914
citeseer,0.025,0.6428571428571429,1.0
citeseer,0.05,0.9166666666666666,1.0
citeseer,0.075,1.15625,1.0
citeseer,0.1,1.2682926829268293,1.0
citeseer,0.125,1.148148148148148,1.0
citeseer,0.15,1.171875,1.0
citeseer,0.175,1.0632911392405062,1.0
citeseer,0.2,1.1136363636363635,1.0
citeseer,0.025,1.3,1.0
citeseer,0.05,1.0909090909090908,1.0
citeseer,0.075,0.9714285714285714,1.0
citeseer,0.1,0.9787234042553192,1.0
citeseer,0.125,1.148148148148148,1.0
citeseer,0.15,1.2419354838709675,1.0
citeseer,0.175,1.295774647887324,1.0
citeseer,0.2,1.2142857142857142,0.9946236559139784
citeseer,0.025,0.5333333333333333,1.0
citeseer,0.05,0.7692307692307693,1.0
citeseer,0.075,1.0294117647058822,1.0
citeseer,0.1,1.2142857142857142,1.0
citeseer,0.125,1.2307692307692308,1.0
citeseer,0.15,1.171875,1.0
citeseer,0.175,1.3623188405797102,0.9938650306748468
