dataset,T2,auc,ap,dp,true,false,fnr,tnr
citeseer,20,0.7941295658420675,0.8363614004745016,0.08368493554980437,0.01569005279359621,0.005044658235811118,0.10221206615594973,0.07301587301587302
citeseer,20,0.7769069240545967,0.8163875609298672,0.08066061283916569,0.05058110339695751,0.014674062449977543,0.11022222222222222,0.11775479422538244
citeseer,20,0.7789146972683233,0.8132863012586578,0.10330253970086377,0.057937373636550535,0.012102518327845124,0.137976297629763,0.0586557318595115
citeseer,20,0.7860247932361988,0.8285054015438535,0.07145337256435656,0.010494606236999215,0.019529485337011463,0.06685267857142857,0.08700487358126452
citeseer,20,0.8158282525005065,0.8441194721304888,0.09463671829332597,0.028198748779628094,0.008272971125699587,0.09312169312169312,0.07532467532467532
citeseer,20,0.7816040081784523,0.8156207069798466,0.07259322013322042,0.008385861783109136,0.007512311455183405,0.09544573643410853,0.0862127528176625
citeseer,20,0.7935217078966273,0.8399508080496969,0.07129186499643413,0.014326161225627352,0.002507431937364976,0.1433336421754841,0.10883813306852036
citeseer,20,0.7978596032345411,0.839826454646772,0.06166478369270596,0.01372888874720426,0.00011222651083882581,0.07961428867963694,0.08392809939201691
citeseer,20,0.7951242424800604,0.8359646670960268,0.05484642121652855,0.01367064774477047,0.004787765510461352,0.10721309633070483,0.12951882323610073
citeseer,20,0.7931487041573799,0.8353248864021301,0.07467540754073396,0.010716571541752628,0.00634020017111752,0.06316964285714285,0.05136997074459719
citeseer,20,0.8045322256810772,0.8384847637456001,0.07681011980696416,0.009573998526362915,0.0005598316574763132,0.05709506551435741,0.07397959183673469
citeseer,20,0.7968326917055021,0.8387810845015953,0.06281492250314973,0.007650969605786269,0.007553144072918656,0.07120181405895691,0.08498868493839577
citeseer,20,0.7982187920204828,0.8386733056928081,0.08934631697333108,0.008543992459632147,0.032835728283610574,0.08451127819548873,0.15702882637944854
citeseer,20,0.7722927296505737,0.8121594121424953,0.04052162906600978,0.024405509431198884,0.006789569753763594,0.10969924812030077,0.08119340544408664
citeseer,20,0.7588645950376688,0.7902204066680203,0.06798916937339619,0.0071323936002293045,0.013992626972142059,0.05346936495820378,0.109170565970256
citeseer,20,0.7987667851682662,0.8409236960033171,0.10455617969111274,0.014261839914930312,0.06377038574024492,0.09540702016430172,0.16132992327365728
citeseer,20,0.7878529720569544,0.8268553474367415,0.11334297595501293,0.05394024045142468,0.014735189456027031,0.15549005158437731,0.12665170780354024
citeseer,20,0.7710539888375177,0.8055711105194477,0.0693523254106589,0.0049571121579558225,0.01162210071554752,0.060321190755973364,0.14396028681742967
citeseer,20,0.7699764224796921,0.8168772684698509,0.07205665079407804,0.00038539111509153977,0.010223556110873338,0.06209349031746909,0.10676649155368208
citeseer,20,0.7964320580596438,0.8335523064583507,0.09648276708096327,0.014794268855270526,0.017480231519856525,0.09464914382614786,0.08518329070758739
citeseer,10,0.8044124960857633,0.8461676352569958,0.09544772852109436,0.022476005802239456,0.006273389257567672,0.10859914963756576,0.08961038961038961
citeseer,10,0.7862182025824752,0.8247923614804522,0.08480444333085793,0.04987290989427516,0.0091509358752908,0.12411111111111113,0.08861236802413272
citeseer,10,0.7795962349647257,0.8142233068616573,0.1103401642726786,0.06626577831397412,0.009282157314593488,0.15072757275727572,0.08286682118024602
citeseer,10,0.7907080624067491,0.8339689096925167,0.0750154634211889,0.0077731251495075345,0.018715811081312643,0.07648809523809524,0.09243450103032087
citeseer,10,0.8169104238427676,0.8459449756735151,0.0982638028837216,0.02615734450542364,0.0022257820163478197,0.08949357520786093,0.10461760461760462
citeseer,10,0.7870701247029785,0.8214328926814527,0.07818411374700847,0.012695100655827535,0.01223232650093102,0.1120304114490161,0.09924347691832636
citeseer,10,0.7925592661496805,0.8390602878820107,0.07251772718345306,0.017855991951878824,0.0054617534720277005,0.15202446029834152,0.1452404596396652
citeseer,10,0.8046013004476046,0.8465109577287547,0.06838270390457843,0.010250361302576788,0.006982841323597157,0.09884324344724776,0.06449907480835318
citeseer,10,0.8050802188288603,0.8427121118432966,0.06595804072493171,0.004730444979018388,0.002005066875710759,0.1026428665080822,0.11399900274245825
citeseer,10,0.8050664038755551,0.8475142827655775,0.07891474124010196,0.009325652472129093,0.002606421845253377,0.06339285714285714,0.04246752021139388
citeseer,10,0.8087273665015011,0.8404078699798252,0.08195378084034445,0.008030211252202433,0.008640767105140636,0.06477093206951026,0.08735521235521236
citeseer,10,0.8028652213155519,0.8433227588645609,0.06459765424967047,0.006542633283095853,0.00849959952193905,0.05778533635676492,0.09811974408403876
citeseer,10,0.7955156661570484,0.8395956616573166,0.09368413696322207,0.010034080505991992,0.037798625793658995,0.09203007518796992,0.14416675380807975
citeseer,10,0.774203798191162,0.8139250118104889,0.046455478176784526,0.017404845258715114,0.009392300256333292,0.06714285714285714,0.09115679960366607
citeseer,10,0.7691152903903185,0.800685215024175,0.07507917286263248,0.013023322424339132,0.016571313327881688,0.06311321281626422,0.13632164038983102
citeseer,10,0.803892132844591,0.8502638097312349,0.11084946370258493,0.01830492776535915,0.06536488818671858,0.09118745332337563,0.1816538789428815
citeseer,10,0.7973438449778041,0.8345248742537879,0.11872903210868972,0.05578092306928052,0.017714965804101826,0.1911569638909359,0.12284966342557965
citeseer,10,0.7746735066035477,0.8101266113590347,0.07291031879779895,0.0010224604976056641,0.008592710242300959,0.06425680338723817,0.11534749034749035
citeseer,10,0.7721776050396949,0.8211735211034341,0.07500023568295677,0.0018801041917788344,0.011699520381829507,0.0665155786486835,0.10056937934505647
citeseer,10,0.800212750280904,0.837236585026236,0.09658614158398443,0.012798729491172316,0.013149237924582507,0.08099091294490628,0.05814151747655584
citeseer,5,0.8106062001510435,0.8554503002011937,0.10413816936153876,0.028210864350919945,0.008056095102161247,0.10661372192773792,0.0735930735930736
citeseer,5,0.7918961483910185,0.8308533564139913,0.08932447977297922,0.050404388669365925,0.0030836119954022823,0.11337037037037034,0.08344106873518638
citeseer,5,0.7843071340418871,0.8173312906322401,0.1170865592026041,0.07312511243260078,0.00810822893093344,0.1592034203420342,0.10404706721340702
citeseer,5,0.8002265652342095,0.845657173248394,0.08501185468261754,0.0028626504282965497,0.02730990593536797,0.08954613095238095,0.09730808229483533
citeseer,5,0.8169702886404244,0.8531375033573847,0.10137805314717342,0.028901402964894306,0.0056230111751538045,0.11311413454270595,0.06435786435786436
