dataset,auc,ap,dp,true,false,fnr,tnr
citeseer,0.8236843559468771,0.8595488011131092,0.12748130322161816,0.04833351697648117,0.00011816140801330825,0.12727340838000334,0.08658008658008658
citeseer,0.7998996113393138,0.8437915583257862,0.1123658861783174,0.07065236831313691,0.006639291442838348,0.14937037037037038,0.10100193923723336
citeseer,0.7947742636629889,0.8285966213315911,0.14235949884659302,0.07458071648739975,0.03680789924752766,0.18211821182118207,0.11100017828489928
citeseer,0.8275709628101457,0.8695841949668837,0.1058995579961011,0.00699709400959288,0.024566194231639558,0.04765625,0.11968076407287476
citeseer,0.8461704949437271,0.8754889141888373,0.13437391762199474,0.06672263811599459,0.019902443019574542,0.16795162509448225,0.1357864357864358
citeseer,0.8239882849195971,0.8577442175024187,0.11824074068581865,0.03881206645637751,0.034559355760054165,0.12429189028026234,0.14935927126756215
citeseer,0.8189872718230212,0.8604285015650729,0.1173582062728748,0.035939312255379746,0.04284789803652828,0.08685258964143426,0.1348276351255497
citeseer,0.8178130007920573,0.8637528023729946,0.099699781894316,0.031049305585986474,0.008019133965079092,0.09359726756364048,0.06826592651334919
citeseer,0.8226436294645324,0.8666654308995869,0.08948540159168775,0.008644427524280797,0.0013777538389875214,0.066811515480717,0.06962104213413113
citeseer,0.8069636574628378,0.8483067249376643,0.1191019547946386,0.04776985312644828,0.025247910910131684,0.11495535714285715,0.0871999748340621
citeseer,0.8198484039123948,0.8504943598161244,0.12012053023464088,0.028630267404621608,0.03291889903937343,0.0781897593160487,0.1979453943739658
citeseer,0.8102424063806665,0.8512640429311426,0.0800766089237829,0.008996962477389172,0.020889442709240414,0.07286470143613001,0.1018355544380186
citeseer,0.8239514450441159,0.8698792271304571,0.12039528113628292,0.03206859947913816,0.0174517968811151,0.08097744360902255,0.08818711004217644
citeseer,0.8118495459485346,0.8381992285267321,0.07074390487093471,0.00015040926818975014,0.015856227061096278,0.11451127819548873,0.0971018082734704
citeseer,0.7979102580633277,0.8241153613617508,0.0935790502576332,0.049560625813511484,0.02050091576459593,0.13078770502485432,0.13191070843143682
citeseer,0.8315174344710715,0.8719282683229745,0.12033453758958627,0.023021971416837674,0.03245312315332696,0.11243465272591488,0.11317988064791132
citeseer,0.8088885409567317,0.8538240194176625,0.1329619040305684,0.06298777368094001,0.0043846946674454025,0.1450626381724392,0.10097232610321616
citeseer,0.8202260126360773,0.8578587793177295,0.10349761832529276,0.008397458665618161,0.019567139123617943,0.11124167645906777,0.1120380584666299
citeseer,0.8188076774300503,0.8576880989014,0.1220527383116758,0.022615499998195884,0.03633472219128689,0.09402465314244653,0.12199188398502625
citeseer,0.8281465858645396,0.8657298664158132,0.11873570680531466,0.008594082201901134,0.026593408480599066,0.06064180782629532,0.13268542199488492
