dataset,auc,ap,dp,true,false,fnr,tnr
citeseer,0.802856011346682,0.847146122998142,0.141038482112987,0.042682755321028,0.041775057871725,0.090018543145592,0.080735930735931
citeseer,0.832850577465048,0.862148229065349,0.112288471459357,0.013140722946676,0.014860636528677,0.081185185185185,0.075145442792502
citeseer,0.819380997992227,0.859612677500644,0.145211084756544,0.05096154739237,0.012780617937216,0.133625862586259,0.076163308967731
citeseer,0.795522573633701,0.840132393982992,0.106000142716155,0.009201823191869,0.020445290669033,0.034337797619048,0.139960095509109
citeseer,0.854505516771353,0.874733252803623,0.121633142568186,0.035518898980093,0.098689903005365,0.121277399848828,0.161544011544012
citeseer,0.812563318535983,0.846797200181074,0.086863327171891,0.016585557368417,0.003737376134972,0.040399522957663,0.072749729813185
citeseer,0.825864816076922,0.857690718512951,0.161416174795975,0.061837526050273,0.062418580092188,0.076938756601501,0.156249113349411
citeseer,0.809033597966439,0.846141282791653,0.147591484191916,0.025731163653958,0.083602799929358,0.059026663899006,0.116309807031457
citeseer,0.819963528523274,0.847017617256446,0.080874750998043,0.036285615257077,0.019951091305912,0.062503511959392,0.085390177013214
citeseer,0.808066551235057,0.84769127451334,0.162787587794776,0.054937517729103,0.087044899606893,0.08296130952381,0.117776589386266
citeseer,0.810781189559579,0.845229084395749,0.124960066120928,0.034126828673379,0.092170795623446,0.059827153610259,0.146235521235521
citeseer,0.792623735931773,0.828559257250518,0.14086886470998,0.030760479692117,0.136585888379736,0.044708994708995,0.164585254099964
citeseer,0.832410801451491,0.856551203955418,0.123299239486749,0.003065217031848,0.025477523779083,0.031917293233083,0.08581686360626
citeseer,0.810440420711378,0.833666581916463,0.115692729742754,0.013544353112317,0.092260284930869,0.039511278195489,0.140313213882696
citeseer,0.824552395512903,0.853921549900819,0.156145615569914,0.073432106591688,0.011792982368033,0.104276432148642,0.081006169344023
citeseer,0.825162555950561,0.859498321446374,0.160840084319775,0.018739604369367,0.075947426060719,0.058103061986557,0.136743393009378
citeseer,0.805163108548693,0.843851991882513,0.15819979052591,0.01212127665652,0.071535275984184,0.130140014738393,0.130640737970581
citeseer,0.801483725985006,0.825358220662372,0.110431005150124,0.026433982614279,0.060976215740109,0.051107007628747,0.118381136238279
citeseer,0.822595277127963,0.852868524110706,0.135755218528964,0.001983021364374,0.004540905205888,0.038140511856724,0.094812671049734
citeseer,0.833018659396931,0.865818371535601,0.207901845942957,0.098042922888318,0.049547290551223,0.111182791735019,0.087433930093777
