dataset,auc,ap,dp,true,false,fnr,tnr
citeseer,0.797677706349353,0.836990908177141,0.157875032215965,0.063220306622002,0.050214539986333,0.090449343497724,0.092640692640693
citeseer,0.822001234135829,0.856457757877175,0.128535876900336,0.030296551652329,0.043664452314615,0.087925925925926,0.114361129067011
citeseer,0.827642340068891,0.864219465720739,0.175550141970113,0.0911419032234,0.004267379148455,0.135913591359136,0.079693349973257
citeseer,0.789420969257124,0.827961225900018,0.140914592345422,0.00939003015765,0.108430543847589,0.048511904761905,0.173813495567985
citeseer,0.841289211442465,0.871998283503764,0.138558149701233,0.053468371388777,0.052250868786852,0.125056689342404,0.087445887445888
citeseer,0.811384442520584,0.849226530620208,0.102308017895614,0.00130814039639,0.009082581828334,0.046809779367919,0.075497915701714
citeseer,0.81639466558603,0.844107660183758,0.18976979440595,0.060799817875087,0.135707787907338,0.075604558510146,0.201957724499929
citeseer,0.814034611063015,0.852990445660719,0.1701317769221,0.033855101804578,0.128451784378625,0.065329383126073,0.174398625429553
citeseer,0.800905800438394,0.840504523106757,0.106655917363171,0.024449446772961,0.060307906545042,0.045215306523816,0.092620294190975
citeseer,0.807348173663173,0.842155077803515,0.156132053657425,0.047145202551701,0.092612499426837,0.072247023809524,0.135266916228884
citeseer,0.808600729429534,0.846941492604622,0.1222292246765,0.031466285049123,0.067552432328957,0.046594182696775,0.105074462217319
citeseer,0.785161358654608,0.825799186419279,0.139834524278164,0.027674203562416,0.135152766829275,0.041685563114135,0.164389685133965
citeseer,0.815726942842933,0.84279856177908,0.11310445472296,0.005523541278993,0.021582253774337,0.050751879699248,0.124019659102792
citeseer,0.817631103906869,0.836355788023768,0.076895951880198,0.021989588362778,0.003301211159136,0.037067669172932,0.053147276580519
citeseer,0.816599587393395,0.852798649769333,0.178754514814899,0.08439714671805,0.077762328743075,0.112058533315957,0.118320269424493
citeseer,0.827343016080606,0.867865456570826,0.196230275880748,0.038838550401944,0.151834472783599,0.069268110530247,0.196453537936914
citeseer,0.795939324725082,0.829918522901649,0.145581437748452,0.016727976170398,0.040530468837291,0.104384672070744,0.097419596110696
citeseer,0.810958481460333,0.842866449093739,0.121661252244675,0.051638820173464,0.081645201448787,0.073284464588812,0.15457804743519
citeseer,0.813933301405441,0.851929485517078,0.13360395993766,0.018313958138675,0.020613306887037,0.036740183885173,0.108905596275441
citeseer,0.821151614507543,0.853635053499061,0.204430565529989,0.09264730175929,0.079717937016071,0.109652922419037,0.149360613810742
