dataset,alpha,auc,ap,dp,true,false,fnr,tnr
cora,1.0,0.8994307400379508,0.914240056593968,0.2870576829766657,0.11998990927705305,0.07963875730057585,0.2918552036199095,0.2022186774941996
cora,1.0,0.8719219094873059,0.8957897244993192,0.2840027312783717,0.16343026225537682,0.1146535299964643,0.3304237134024368,0.3181818181818182
cora,1.0,0.8734017693506979,0.8824030481901938,0.2483963009815432,0.08161918229546362,0.10650998664955616,0.22172639799191188,0.25549384206713355
cora,1.0,0.8850102077924885,0.901989438714188,0.30032951688122234,0.0978382967588398,0.1978672960405332,0.24118916327019896,0.3929290943933959
cora,1.0,0.8911636883436731,0.9071687224512122,0.2582538909047393,0.10538047897436206,0.051134186679670346,0.29806417395916196,0.15956109822119102
cora,1.0,0.8728292688196049,0.8856469698593991,0.2523565133861852,0.0942016315111842,0.129565857835076,0.3183780248528449,0.33745874587458746
cora,1.0,0.8747160001296227,0.9004525000589995,0.2789539067458686,0.12161805690452858,0.11865772491170468,0.3148879142300195,0.2723888055972014
cora,1.0,0.8969643069322973,0.9150243040894412,0.2714703827437968,0.09692830174803926,0.12413662878541099,0.32941176470588235,0.3333333333333333
cora,1.0,0.8669602382178311,0.8931641860772837,0.2819660618064622,0.15729528990335154,0.11916038713188665,0.3752941176470588,0.3198830409356725
cora,1.0,0.8725088125474832,0.8935621106879833,0.2431563996868724,0.07293463763754984,0.10310781190456154,0.2262745098039216,0.2623389001699059
cora,1.0,0.8904687663153651,0.916737118512932,0.2687688785118224,0.1030321332571668,0.08441085690840727,0.3202764976958525,0.20804128966484006
cora,1.0,0.8756233594619215,0.9001946854159613,0.2452654635812539,0.0766186686976691,0.1047494627202076,0.22595350936583164,0.23203394325112706
cora,1.0,0.8994631457283899,0.9171874070500636,0.282507286788986,0.09900881333678906,0.12446579195993207,0.26295081967213113,0.3129565724017389
cora,1.0,0.8725088125474832,0.8943005622066811,0.249135283406178,0.11279818246940596,0.06821485860978306,0.3592866188265091,0.14785102854837984
cora,1.0,0.8922582805540651,0.9006908622651932,0.28243126196994384,0.09110482784821997,0.13301788434290346,0.2447058823529412,0.3331384015594542
cora,1.0,0.8879879306806275,0.9055021221004714,0.27581072270380064,0.1117486081767969,0.11957419218128512,0.2819314641744548,0.3242010283294687
cora,1.0,0.8784858621173878,0.8993217517170308,0.291796316447453,0.1127597229984755,0.17224469945048926,0.2717954027749017,0.405927405927406
cora,1.0,0.8830262594111526,0.8930782188009154,0.2877163992490841,0.11596562730277925,0.1340897321012175,0.2864278578564293,0.31795012332145794
cora,1.0,0.8836455681617692,0.9009798084143992,0.2716291484563411,0.11857267480849265,0.11919272782761392,0.2917361378307896,0.26840749414519904
cora,1.0,0.8623586301754587,0.8907068485835499,0.2410326828756907,0.08309334088231322,0.08904461390330316,0.2192275563854356,0.2683889252234576
cora,5.0,0.7466613137266904,0.7144687246337541,0.35206544566456777,0.14916265678982266,0.3109114242539908,0.3972850678733032,0.3905162412993039
cora,5.0,0.7278282066330848,0.6820027227723222,0.3594337457110705,0.25886938528272563,0.27041461686765184,0.4328968903436989,0.33499833499833503
cora,5.0,0.7457953616655084,0.7299308803901351,0.2748196884477465,0.09541281161521774,0.207147741404595,0.2777855250313764,0.31834098043950737
cora,5.0,0.7404556240075757,0.7119252119205173,0.2778174510056913,0.13561720475539302,0.18158692128268508,0.3289379045792376,0.26529408874256794
cora,5.0,0.7762423081493112,0.7648438620799376,0.2777308147964497,0.061083585212739225,0.19667613292482405,0.1857155484840449,0.27370939675174016
cora,5.0,0.7562786025226029,0.7217363249087315,0.2954448882030309,0.15255048085056636,0.22232268932319704,0.2907128842380641,0.2981767688964018
cora,5.0,0.7517652099708709,0.7477963802279519,0.277074096604013,0.2250192283507577,0.1232986431160946,0.4426900584795322,0.2109945027486257
cora,5.0,0.7261881186336321,0.6908454565341335,0.2921833666916984,0.16013458256456625,0.2234807191512491,0.4192156862745098,0.3105882352941177
cora,5.0,0.7931400753972397,0.7691767282921462,0.34396490888074355,0.12770131822136735,0.2543759093705653,0.3364705882352941,0.3355199593185863
cora,5.0,0.7624374840221944,0.7570910106703921,0.2719849658892305,0.12815788540168865,0.1903109198253658,0.36,0.26853425054908625
cora,5.0,0.7558591288630283,0.7366992258810849,0.3535802822827634,0.18741125218214671,0.3277243847657006,0.3824884792626728,0.431757359500446
cora,5.0,0.7580591151806256,0.7304078294807088,0.2712762765792226,0.10209753067184107,0.15871771526313525,0.2713382983525164,0.2239238044727305
cora,5.0,0.7854743292922237,0.7702254696570064,0.3260819093649812,0.18441251956312127,0.21111065291532224,0.3751053864168618,0.281674360238426
cora,5.0,0.783904453622056,0.7339699459343171,0.2635206214015551,0.09189376234660668,0.17001525477896126,0.2322921063739975,0.2860888271411285
cora,5.0,0.8004385570106111,0.7857213997754176,0.34613759894792834,0.1835233986142032,0.226691654093435,0.3933333333333333,0.32811890838206625
cora,5.0,0.7747228413309377,0.7699227852717601,0.2881546749754019,0.1519750143310693,0.2053054823020745,0.28451268357810416,0.3702490170380079
cora,5.0,0.7722708107543685,0.7576824697397153,0.2717316561284488,0.1027276063670074,0.1672643194300581,0.2922447711741561,0.2949193663479377
cora,5.0,0.7991675338189386,0.7888583415002941,0.3284714323059255,0.12982229412815655,0.2277509076508267,0.35328956757528185,0.3208824335434365
cora,5.0,0.7601672853753119,0.743811452881477,0.2924271577182625,0.18383566045295152,0.1972658555434488,0.3560129964516267,0.2967447306791569
cora,5.0,0.786790360387284,0.7790457949218389,0.2959981742439252,0.14309490276965892,0.1154497406991107,0.3293204265146676,0.16221931545672552
cora,10.0,0.7043628861228032,0.6627665246894351,0.2506466802357241,0.047838291375611984,0.2147642807497741,0.3710407239819005,0.34326662799690644
cora,10.0,0.7293314706062386,0.7043722392974465,0.2939825068512024,0.15817860636823314,0.19614702189056074,0.31248863429714496,0.2422815279958137
cora,10.0,0.7568565040021028,0.717191952262745,0.2745265667278751,0.13514180308896326,0.13680845889995422,0.2655138753311951,0.22544876438863395
cora,10.0,0.7933003035333004,0.7422982425924161,0.40001938603421705,0.08654652928833999,0.37294274470010985,0.33955885878686165,0.4394132966438996
