dataset,ratio,div,recall
cora,0.025,0.04,1.0
cora,0.05,0.08333333333333333,0.9807692307692308
cora,0.075,0.0821917808219178,0.9873417721518988
cora,0.1,0.07142857142857142,0.9714285714285714
cora,0.125,0.11965811965811965,0.9770992366412212
cora,0.15,0.1048951048951049,0.981012658227848
cora,0.175,0.10843373493975904,0.9836956521739132
cora,0.2,0.10526315789473684,0.9809523809523808
cora,0.025,0.08333333333333333,1.0
cora,0.05,0.04,1.0
cora,0.075,0.06756756756756757,1.0
cora,0.1,0.09375,1.0
cora,0.125,0.10084033613445376,1.0
cora,0.15,0.0896551724137931,1.0
cora,0.175,0.08875739644970414,0.9945652173913044
cora,0.2,0.08808290155440414,0.9952380952380953
cora,0.025,0.18181818181818185,0.9615384615384616
cora,0.05,0.13043478260869565,0.9807692307692308
cora,0.075,0.14492753623188406,0.9746835443037974
cora,0.1,0.15384615384615385,0.9809523809523808
cora,0.125,0.1592920353982301,0.9847328244274808
cora,0.15,0.1791044776119403,0.9873417721518988
cora,0.175,0.1794871794871795,0.9836956521739132
cora,0.2,0.17318435754189945,0.9809523809523808
cora,0.025,0.18181818181818185,1.0
cora,0.05,0.20930232558139536,1.0
cora,0.075,0.14492753623188406,1.0
cora,0.1,0.14130434782608695,1.0
cora,0.125,0.1592920353982301,1.0
cora,0.15,0.16176470588235295,0.9873417721518988
cora,0.175,0.17197452229299362,0.9891304347826086
cora,0.2,0.15384615384615385,0.9904761904761904
cora,0.025,0.04,1.0
cora,0.05,0.13043478260869565,0.9807692307692308
cora,0.075,0.09722222222222222,0.9873417721518988
cora,0.1,0.08247422680412371,0.9904761904761904
cora,0.125,0.12931034482758622,0.9923664122137404
cora,0.15,0.12056737588652484,0.9936708860759492
cora,0.175,0.10179640718562874,0.9891304347826086
cora,0.2,0.14130434782608695,0.9857142857142858
cora,0.025,0.04,1.0
cora,0.05,0.061224489795918366,1.0
cora,0.075,0.0821917808219178,1.0
cora,0.1,0.09375,1.0
cora,0.125,0.08264462809917356,0.9847328244274808
cora,0.15,0.0896551724137931,0.9873417721518988
cora,0.175,0.10843373493975904,0.9891304347826086
cora,0.2,0.09375,0.9857142857142858
cora,0.025,0.04,1.0
cora,0.05,0.13043478260869565,1.0
cora,0.075,0.0821917808219178,0.9873417721518988
cora,0.1,0.09375,0.9904761904761904
cora,0.125,0.09166666666666666,0.9923664122137404
cora,0.15,0.1048951048951049,0.981012658227848
cora,0.175,0.11515151515151514,0.9728260869565216
cora,0.2,0.11702127659574467,0.9761904761904762
cora,0.025,0.08333333333333333,1.0
cora,0.05,0.15555555555555556,1.0
cora,0.075,0.11267605633802814,1.0
cora,0.1,0.12903225806451613,1.0
cora,0.125,0.12931034482758622,1.0
cora,0.15,0.11267605633802814,0.9936708860759492
cora,0.175,0.12883435582822084,0.9945652173913044
cora,0.2,0.12299465240641712,0.9952380952380953
cora,0.025,0.08333333333333333,1.0
cora,0.05,0.061224489795918366,1.0
cora,0.075,0.06756756756756757,1.0
cora,0.1,0.05,1.0
cora,0.125,0.07377049180327869,1.0
cora,0.15,0.09722222222222222,0.9936708860759492
cora,0.175,0.08875739644970414,0.9945652173913044
cora,0.2,0.08808290155440414,0.9904761904761904
cora,0.025,0.18181818181818185,1.0
cora,0.05,0.10638297872340426,0.9807692307692308
cora,0.075,0.11267605633802814,0.9620253164556962
cora,0.1,0.14130434782608695,0.961904761904762
cora,0.125,0.1391304347826087,0.9694656488549618
cora,0.15,0.14492753623188406,0.9746835443037974
cora,0.175,0.12195121951219512,0.9782608695652174
cora,0.2,0.11702127659574467,0.9809523809523808
cora,0.025,0.04,1.0
cora,0.05,0.04,0.9807692307692308
cora,0.075,0.025974025974025976,0.9873417721518988
cora,0.1,0.07142857142857142,0.9904761904761904
cora,0.125,0.07377049180327869,0.9923664122137404
cora,0.15,0.07482993197278913,0.9936708860759492
cora,0.175,0.10179640718562874,0.9945652173913044
cora,0.2,0.1111111111111111,0.9952380952380953
cora,0.025,0.0,1.0
cora,0.05,0.0196078431372549,1.0
cora,0.075,0.06756756756756757,1.0
cora,0.1,0.09375,0.9904761904761904
cora,0.125,0.11016949152542373,0.9923664122137404
cora,0.15,0.12857142857142856,0.9936708860759492
cora,0.175,0.15,0.9836956521739132
cora,0.2,0.15384615384615385,0.9857142857142858
cora,0.025,0.18181818181818185,1.0
cora,0.05,0.15555555555555556,1.0
cora,0.075,0.12857142857142856,1.0
cora,0.1,0.11702127659574467,1.0
cora,0.125,0.11965811965811965,1.0
cora,0.15,0.12056737588652484,0.9936708860759492
cora,0.175,0.13580246913580246,0.9891304347826086
cora,0.2,0.12903225806451613,0.9857142857142858
cora,0.025,0.08333333333333333,1.0
cora,0.05,0.061224489795918366,1.0
cora,0.075,0.09722222222222222,1.0
cora,0.1,0.09375,0.9809523809523808
cora,0.125,0.09166666666666666,0.9847328244274808
cora,0.15,0.1048951048951049,0.9873417721518988
cora,0.175,0.11515151515151514,0.9891304347826086
cora,0.2,0.12903225806451613,0.9857142857142858
cora,0.025,0.0,0.9615384615384616
cora,0.05,0.04,0.9807692307692308
cora,0.075,0.05333333333333334,0.9873417721518988
cora,0.1,0.07142857142857142,0.9904761904761904
cora,0.125,0.09166666666666666,0.9923664122137404
cora,0.15,0.1048951048951049,0.9936708860759492
cora,0.175,0.12195121951219512,0.9945652173913044
cora,0.2,0.12903225806451613,0.9904761904761904
cora,0.025,0.18181818181818185,1.0
cora,0.05,0.13043478260869565,1.0
cora,0.075,0.09722222222222222,1.0
cora,0.1,0.10526315789473684,0.9904761904761904
cora,0.125,0.1391304347826087,0.9923664122137404
cora,0.15,0.14492753623188406,0.9936708860759492
cora,0.175,0.12195121951219512,0.9945652173913044
cora,0.2,0.12299465240641712,0.9904761904761904
cora,0.025,0.0,1.0
cora,0.05,0.04,1.0
cora,0.075,0.05333333333333334,1.0
cora,0.1,0.08247422680412371,1.0
cora,0.125,0.09166666666666666,0.9923664122137404
cora,0.15,0.09722222222222222,0.9873417721518988
cora,0.175,0.10179640718562874,0.9836956521739132
cora,0.2,0.10526315789473684,0.9809523809523808
cora,0.025,0.13043478260869565,0.9615384615384616
cora,0.05,0.2380952380952381,0.9615384615384616
cora,0.075,0.1791044776119403,0.9620253164556962
cora,0.1,0.1797752808988764,0.961904761904762
cora,0.125,0.16964285714285715,0.9694656488549618
cora,0.15,0.15328467153284672,0.9746835443037974
cora,0.175,0.14285714285714285,0.9782608695652174
cora,0.2,0.13513513513513514,0.9714285714285714
cora,0.025,0.04,1.0
cora,0.05,0.10638297872340426,1.0
cora,0.075,0.0821917808219178,1.0
cora,0.1,0.11702127659574467,1.0
cora,0.125,0.11965811965811965,0.9923664122137404
cora,0.15,0.1366906474820144,0.9873417721518988
cora,0.175,0.13580246913580246,0.9891304347826086
cora,0.2,0.12903225806451613,0.9857142857142858
cora,0.025,0.04,1.0
cora,0.05,0.08333333333333333,1.0
cora,0.075,0.05333333333333334,1.0
cora,0.1,0.06060606060606061,1.0
cora,0.125,0.07377049180327869,1.0
cora,0.15,0.07482993197278912,0.9936708860759493
cora,0.175,0.08875739644970414,0.9945652173913043
cora,0.2,0.07692307692307693,0.9952380952380953
