dataset,auc,ap,dp,true,false,fnr,tnr
cora,0.8823133342214893,0.9063570380903324,0.28803109510852065,0.1091363573705572,0.12190517215753373,0.31447963800904977,0.3104940061871617
cora,0.8818524532907979,0.9080068648945242,0.280422492987126,0.1215935073521798,0.1314333338097808,0.3290370976541189,0.33647305075876505
cora,0.8767431560982109,0.8984151189811235,0.2395231594492261,0.08110984848427308,0.07905568723289312,0.20896667131501884,0.22470417773484666
cora,0.8902959359663557,0.9128230716872056,0.2763999753378517,0.0811663590511445,0.12798904257387864,0.23740110285303284,0.3406466512702079
cora,0.8693222529876246,0.8974943338386375,0.2659054930772838,0.10946185504255287,0.10740805942721683,0.2615133032794131,0.2671838747099768
cora,0.9009682100176792,0.9190163902390508,0.2493200368536281,0.08575321704273274,0.0804216506820389,0.3172007848266841,0.22116236013845286
cora,0.8709317356127736,0.8933057035833658,0.2752791667745718,0.12882887848823418,0.10529875451444837,0.32816764132553605,0.2720139930034983
cora,0.8925211267098503,0.9175077041561636,0.26528981133967194,0.0951547187033366,0.09173648896287162,0.3101960784313725,0.2733333333333333
cora,0.889928671474711,0.9131550948793964,0.2845728103127034,0.13699735132622348,0.08573488782385474,0.3623529411764706,0.2283752860411899
cora,0.887102175141955,0.9048598658944652,0.24797931354524425,0.05341400304986126,0.09979120088589634,0.26392156862745103,0.2576146865028387
cora,0.8912429022536357,0.9174060009003604,0.2658518343279671,0.1044262960617288,0.07794526179419102,0.2887864823348694,0.1805785650567096
cora,0.8824825639382277,0.9082857291791052,0.24054539519342602,0.06920162372703174,0.0819786603036892,0.1876777251184834,0.2539998232122337
cora,0.8988546388745864,0.9214394260510134,0.28110858024218355,0.11294395650560365,0.10402733263077103,0.2484543325526932,0.27250929951149555
cora,0.8781438020516403,0.9032283587954888,0.25906647074437444,0.09853456393149188,0.10736396835999973,0.2642043056141832,0.29030161789091563
cora,0.8961109570840641,0.914880082890266,0.2663149709628444,0.07283569120136997,0.09840138845056533,0.2466666666666667,0.3023879142300195
cora,0.8776757198564067,0.9043322165614804,0.2755199399986685,0.13475653286290273,0.11225738764848607,0.28377837116154875,0.27575864502470004
cora,0.8863208379391422,0.9109246219334524,0.28322643289155297,0.10756422914716343,0.11620202134953815,0.3355767239594119,0.2526996812711099
cora,0.8876818769375903,0.8990492669358757,0.28470208281791404,0.11690742733122672,0.11061426848044996,0.2585034013605442,0.26215401479857503
cora,0.8758970075145196,0.9051955201019676,0.2644002765892047,0.10624369685321552,0.11031612885835222,0.3022102518062503,0.2461826697892272
cora,0.8798252973222096,0.9066073486286297,0.25372214040399177,0.07199048008720674,0.10166085618744279,0.3009188737654169,0.27436232831916285
