dataset,auc,ap,dp,true,false,fnr,tnr
cora,0.873763632893936,0.864718351269258,0.425035581001867,0.08824071406346,0.377131652178086,0.259183487906892,0.424313781456639
cora,0.871637459537895,0.863512703494058,0.364151672452376,0.071236224357276,0.252955757621501,0.217333705201506,0.342107381469854
cora,0.876001425850379,0.872215237598919,0.464958033644326,0.082289162749244,0.412274212179206,0.201750179812994,0.442558105252813
cora,0.88082447277742,0.893125574242265,0.416465981500197,0.082153290373872,0.284987034911737,0.236608326703792,0.386359242072699
cora,0.883758988078306,0.882810385847665,0.36418654167035,0.027374755325886,0.278736696463364,0.215522127752344,0.316952426950012
cora,0.868852370476256,0.869615003041133,0.435172251134373,0.099812592201669,0.34141692047309,0.282431773879142,0.364617691154423
cora,0.889237350078674,0.895805302336352,0.412732779153145,0.072769257483966,0.298057474508252,0.268235294117647,0.310980392156863
cora,0.883856205149624,0.885392290365063,0.41714877572569,0.10677725198986,0.27639764292359,0.328627450980392,0.325400457665904
cora,0.868265467416078,0.864799127749181,0.377781653938665,0.021562608942168,0.296095069183159,0.17843137254902,0.345965770171149
cora,0.894321442845364,0.891442171522796,0.424511432840083,0.142273312432043,0.239403926805327,0.254992319508448,0.279342423856251
cora,0.881861454871475,0.892257316656696,0.378689766103324,0.053656947582647,0.241996404531536,0.19424509140149,0.287965172810041
cora,0.894067598270256,0.901748149809958,0.424641015974665,0.119309183526629,0.254104368147685,0.278407494145199,0.266683099538386
cora,0.880197962762261,0.881245181293046,0.377593782003313,0.037400867477274,0.221642342187173,0.21935415787252,0.244633173486308
cora,0.888931296335637,0.888687847623895,0.396952241998894,0.041819433440543,0.266829029980568,0.202745098039216,0.317153996101364
cora,0.879067364229159,0.881398343871898,0.405809603608739,0.05288532153502,0.316745112623008,0.241878059635069,0.354118358705515
cora,0.891882014481743,0.884033132435283,0.412821015786052,0.058187298089796,0.280658428132023,0.301615241250776,0.353503639217925
cora,0.870805713483288,0.865676546296153,0.401530393685138,0.091315217220966,0.286018110648487,0.247680890538033,0.317319813647575
cora,0.87361780728696,0.889525091605478,0.388393338622492,0.099016782545427,0.338450046919083,0.178337822239323,0.384730679156909
cora,0.876300278328874,0.870251921972798,0.404182854053167,0.038272387811172,0.32711051005117,0.203896614416982,0.354959668628733
