dataset,auc,ap,dp,true,false,fnr,tnr
cora,0.872200958488311,0.862634565787305,0.417058256450165,0.076341236872458,0.345841246418746,0.275731951263866,0.409447695161981
cora,0.870514062269335,0.861629584736368,0.38099788764956,0.049410530629906,0.306446626168832,0.201203923209222,0.374989938018192
cora,0.881342963824447,0.878706860011306,0.44819319811934,0.075770295362658,0.381214776727684,0.174922081035723,0.419881086924475
cora,0.872894080200483,0.884785619469406,0.413465732581271,0.089952261136619,0.296589104288782,0.227349067444533,0.359604601701469
cora,0.880628238318649,0.87254854011062,0.346224304331641,0.028200575362562,0.232045106446718,0.214737301068236,0.270023343797794
cora,0.871853497474156,0.869757397075404,0.453730212065805,0.126458672387248,0.357139839256462,0.25906432748538,0.373813093453273
cora,0.889003308981057,0.895076983219878,0.388143874382816,0.068879092899909,0.219041415957927,0.273333333333333,0.281960784313725
cora,0.882977650875494,0.8839182471965,0.41411244858416,0.106522650615779,0.289299363570853,0.348627450980392,0.315560640732265
cora,0.87696819561515,0.879257486986561,0.366711362802444,0.009427286808945,0.268856420233565,0.180392156862745,0.323318552898761
cora,0.894289037154924,0.892406304243237,0.425837866905305,0.12749673211233,0.22426448948329,0.268049155145929,0.241748438893845
cora,0.876084240392613,0.884385465437886,0.361978813620936,0.071612433909946,0.221722681964976,0.192010832769127,0.241757270396888
cora,0.889300361143417,0.889343674333651,0.419447521383695,0.098970360844248,0.258473268442521,0.282388758782201,0.27835790794604
cora,0.883019058146611,0.882508804767935,0.391849899403219,0.028354506327157,0.261265192132873,0.209434360489658,0.283847980997625
cora,0.883314309992835,0.880698141377773,0.395415507347833,0.013602191955609,0.267914781722926,0.216470588235294,0.351876218323587
cora,0.878188809955028,0.87763626596944,0.392872731187451,0.038590951617465,0.265125093750726,0.244259012016021,0.330325637665087
cora,0.88880527420615,0.883152701480936,0.3978943638733,0.061783322817328,0.232811576128261,0.308448954234831,0.355168640882927
cora,0.868119641809102,0.858638960537606,0.396567381211725,0.060402536357536,0.259863509311129,0.238047666619095,0.33080295971499
cora,0.877045609208977,0.884013850305752,0.409806605699715,0.096825066595021,0.352005981672486,0.188085160959343,0.379789227166276
cora,0.870357434765545,0.864236871702616,0.377281892050245,0.031242384923764,0.252533247587865,0.193749692889784,0.340113363854371
